unique_id,cell_line,split,ecDNA_gt,density_bin
ncih2170_facs_fish_0423_low_her2_4,NCI-H2170,train,117,50-149
ncih2170_facs_fish_0423_low_her2_44,NCI-H2170,train,115,50-149
ncih2170_facs_fish_0423_low_her2_46,NCI-H2170,train,167,150-299
ncih2170_facs_fish_0423_low_her2_48,NCI-H2170,train,99,50-149
ncih2170_facs_fish_0423_low_her2_59,NCI-H2170,train,170,150-299
ncih2170_facs_fish_0423_low_her2_66,NCI-H2170,train,41,10-49
ncih2170_facs_fish_0423_low_her2_68,NCI-H2170,train,103,50-149
ncih2170_facs_fish_0423_low_her2_7,NCI-H2170,train,84,50-149
ncih2170_facs_fish_0423_low_her2_71,NCI-H2170,train,135,50-149
ncih2170_facs_fish_0423_low_her2_72,NCI-H2170,train,142,50-149
ncih2170_facs_fish_0423_low_her2_74,NCI-H2170,train,97,50-149
ncih2170_facs_fish_0423_low_her2_75,NCI-H2170,train,111,50-149
ncih2170_facs_fish_0423_low_her2_76,NCI-H2170,train,204,150-299
ncih2170_facs_fish_0423_low_her2_9,NCI-H2170,train,143,50-149
ncih2170_facs_fish_0423_low_her2_95,NCI-H2170,train,26,10-49
ncih2170_facs_fish_0423_low_her2_97,NCI-H2170,train,114,50-149
ncih2170_facs_fish_0423_low_her2_98,NCI-H2170,train,125,50-149
ncih2170_facs_fish_0723_high_her2_10,NCI-H2170,train,597,300+
ncih2170_facs_fish_0723_high_her2_102,NCI-H2170,train,276,150-299
ncih2170_facs_fish_0723_high_her2_103,NCI-H2170,train,199,150-299
ncih2170_facs_fish_0723_high_her2_104,NCI-H2170,train,676,300+
ncih2170_facs_fish_0723_high_her2_109,NCI-H2170,train,292,150-299
ncih2170_facs_fish_0723_high_her2_113,NCI-H2170,train,843,300+
ncih2170_facs_fish_0723_high_her2_114,NCI-H2170,train,329,300+
ncih2170_facs_fish_0723_high_her2_116,NCI-H2170,train,395,300+
ncih2170_facs_fish_0723_high_her2_12,NCI-H2170,train,211,150-299
ncih2170_facs_fish_0723_high_her2_120,NCI-H2170,train,250,150-299
ncih2170_facs_fish_0723_high_her2_121,NCI-H2170,train,344,300+
ncih2170_facs_fish_0723_high_her2_122,NCI-H2170,train,245,150-299
ncih2170_facs_fish_0723_high_her2_123,NCI-H2170,train,325,300+
ncih2170_facs_fish_0723_high_her2_124,NCI-H2170,train,165,150-299
ncih2170_facs_fish_0723_high_her2_13,NCI-H2170,train,299,150-299
ncih2170_facs_fish_0723_high_her2_18,NCI-H2170,train,611,300+
ncih2170_facs_fish_0723_high_her2_24,NCI-H2170,train,184,150-299
ncih2170_facs_fish_0723_high_her2_27,NCI-H2170,train,319,300+
ncih2170_facs_fish_0723_high_her2_28,NCI-H2170,train,232,150-299
ncih2170_facs_fish_0723_high_her2_3,NCI-H2170,train,460,300+
ncih2170_facs_fish_0723_high_her2_30,NCI-H2170,train,376,300+
ncih2170_facs_fish_0723_high_her2_36,NCI-H2170,train,236,150-299
ncih2170_facs_fish_0723_high_her2_4,NCI-H2170,train,396,300+
ncih2170_facs_fish_0723_high_her2_40,NCI-H2170,train,517,300+
ncih2170_facs_fish_0723_high_her2_41,NCI-H2170,train,265,150-299
ncih2170_facs_fish_0723_high_her2_42,NCI-H2170,train,323,300+
ncih2170_facs_fish_0723_high_her2_54,NCI-H2170,train,120,50-149
ncih2170_facs_fish_0723_high_her2_55,NCI-H2170,train,223,150-299
ncih2170_facs_fish_0723_high_her2_56,NCI-H2170,train,252,150-299
ncih2170_facs_fish_0723_high_her2_64,NCI-H2170,train,260,150-299
ncih2170_facs_fish_0723_high_her2_7,NCI-H2170,train,495,300+
ncih2170_facs_fish_0723_high_her2_82,NCI-H2170,train,498,300+
ncih2170_facs_fish_0723_high_her2_83,NCI-H2170,train,307,300+
ncih2170_facs_fish_0723_high_her2_84,NCI-H2170,train,258,150-299
ncih2170_facs_fish_0723_high_her2_86,NCI-H2170,train,164,150-299
ncih2170_facs_fish_0723_high_her2_87,NCI-H2170,train,249,150-299
ncih2170_facs_fish_0723_high_her2_9,NCI-H2170,train,262,150-299
ncih2170_facs_fish_0723_high_her2_92,NCI-H2170,train,147,50-149
ncih2170_facs_fish_0723_high_her2_96,NCI-H2170,train,497,300+
ncih2170_facs_fish_0723_high_her2_98,NCI-H2170,train,226,150-299
ncih2170_facs_fish_0723_low_her2_10,NCI-H2170,train,206,150-299
ncih2170_facs_fish_0723_low_her2_103,NCI-H2170,train,207,150-299
ncih2170_facs_fish_0723_low_her2_106,NCI-H2170,train,71,50-149
ncih2170_facs_fish_0723_low_her2_108,NCI-H2170,train,53,50-149
ncih2170_facs_fish_0723_low_her2_112,NCI-H2170,train,98,50-149
ncih2170_facs_fish_0723_low_her2_118,NCI-H2170,train,93,50-149
ncih2170_facs_fish_0723_low_her2_124,NCI-H2170,train,152,150-299
ncih2170_facs_fish_0723_low_her2_125,NCI-H2170,train,73,50-149
ncih2170_facs_fish_0723_low_her2_126,NCI-H2170,train,124,50-149
ncih2170_facs_fish_0723_low_her2_13,NCI-H2170,train,82,50-149
ncih2170_facs_fish_0723_low_her2_15,NCI-H2170,train,132,50-149
ncih2170_facs_fish_0723_low_her2_20,NCI-H2170,train,183,150-299
ncih2170_facs_fish_0723_low_her2_21,NCI-H2170,train,260,150-299
ncih2170_facs_fish_0723_low_her2_25,NCI-H2170,train,54,50-149
ncih2170_facs_fish_0723_low_her2_3,NCI-H2170,train,124,50-149
ncih2170_facs_fish_0723_low_her2_32,NCI-H2170,train,78,50-149
ncih2170_facs_fish_0723_low_her2_34,NCI-H2170,train,72,50-149
ncih2170_facs_fish_0723_low_her2_38,NCI-H2170,train,86,50-149
ncih2170_facs_fish_0723_low_her2_39,NCI-H2170,train,100,50-149
ncih2170_facs_fish_0723_low_her2_40,NCI-H2170,train,97,50-149
ncih2170_facs_fish_0723_low_her2_42,NCI-H2170,train,122,50-149
ncih2170_facs_fish_0723_low_her2_43,NCI-H2170,train,71,50-149
ncih2170_facs_fish_0723_low_her2_44,NCI-H2170,train,162,150-299
ncih2170_facs_fish_0723_low_her2_51,NCI-H2170,train,106,50-149
ncih2170_facs_fish_0723_low_her2_53,NCI-H2170,train,105,50-149
ncih2170_facs_fish_0723_low_her2_54,NCI-H2170,train,106,50-149
ncih2170_facs_fish_0723_low_her2_57,NCI-H2170,train,236,150-299
ncih2170_facs_fish_0723_low_her2_6,NCI-H2170,train,66,50-149
ncih2170_facs_fish_0723_low_her2_62,NCI-H2170,train,53,50-149
ncih2170_facs_fish_0723_low_her2_68,NCI-H2170,train,32,10-49
ncih2170_facs_fish_0723_low_her2_70,NCI-H2170,train,115,50-149
ncih2170_facs_fish_0723_low_her2_75,NCI-H2170,train,43,10-49
ncih2170_facs_fish_0723_low_her2_83,NCI-H2170,train,78,50-149
ncih2170_facs_fish_0723_low_her2_87,NCI-H2170,train,64,50-149
ncih2170_facs_fish_0723_low_her2_88,NCI-H2170,train,46,10-49
ncih2170_facs_fish_0723_low_her2_89,NCI-H2170,train,79,50-149
ncih2170_facs_fish_0723_low_her2_92,NCI-H2170,train,130,50-149
ncih2170_facs_fish_0723_low_her2_93,NCI-H2170,train,39,10-49
ncih2170_facs_fish_0723_low_her2_94,NCI-H2170,train,93,50-149
ncih2170_facs_fish_0723_low_her2_98,NCI-H2170,train,121,50-149
ncih2170_facs_fish_0723_pre_sort_ctrl_1,NCI-H2170,train,94,50-149
ncih2170_facs_fish_0723_pre_sort_ctrl_12,NCI-H2170,train,173,150-299
ncih2170_facs_fish_0723_pre_sort_ctrl_14,NCI-H2170,train,179,150-299
ncih2170_facs_fish_0723_pre_sort_ctrl_16,NCI-H2170,train,85,50-149
ncih2170_facs_fish_0723_pre_sort_ctrl_17,NCI-H2170,train,513,300+
ncih2170_facs_fish_0723_pre_sort_ctrl_18,NCI-H2170,train,255,150-299
ncih2170_facs_fish_0723_pre_sort_ctrl_19,NCI-H2170,train,123,50-149
ncih2170_facs_fish_0723_pre_sort_ctrl_2,NCI-H2170,train,520,300+
ncih2170_facs_fish_0723_pre_sort_ctrl_21,NCI-H2170,train,250,150-299
ncih2170_facs_fish_0723_pre_sort_ctrl_24,NCI-H2170,train,64,50-149
ncih2170_facs_fish_0723_pre_sort_ctrl_8,NCI-H2170,train,193,150-299
ncih2170_facs_fish_0723_sorted_ctrl_11,NCI-H2170,train,34,10-49
ncih2170_facs_fish_0723_sorted_ctrl_18,NCI-H2170,train,292,150-299
ncih2170_facs_fish_0723_sorted_ctrl_21,NCI-H2170,train,407,300+
ncih2170_facs_fish_0723_sorted_ctrl_22,NCI-H2170,train,88,50-149
ncih2170_facs_fish_0723_sorted_ctrl_25,NCI-H2170,train,138,50-149
ncih2170_facs_fish_0723_sorted_ctrl_31,NCI-H2170,train,78,50-149
ncih2170_facs_fish_0723_sorted_ctrl_32,NCI-H2170,train,288,150-299
ncih2170_facs_fish_0723_sorted_ctrl_33,NCI-H2170,train,168,150-299
ncih2170_facs_fish_0723_sorted_ctrl_36,NCI-H2170,train,67,50-149
ncih2170_facs_fish_0723_sorted_ctrl_37,NCI-H2170,train,239,150-299
ncih2170_facs_fish_0723_sorted_ctrl_4,NCI-H2170,train,536,300+
ncih2170_facs_fish_0723_sorted_ctrl_40,NCI-H2170,train,65,50-149
ncih2170_facs_fish_0723_sorted_ctrl_41,NCI-H2170,train,292,150-299
ncih2170_facs_fish_0723_sorted_ctrl_43,NCI-H2170,train,98,50-149
ncih2170_facs_fish_0723_sorted_ctrl_48,NCI-H2170,train,274,150-299
ncih2170_facs_fish_0723_sorted_ctrl_52,NCI-H2170,train,226,150-299
ncih2170_facs_fish_0723_sorted_ctrl_54,NCI-H2170,train,116,50-149
ncih2170_facs_fish_0723_sorted_ctrl_55,NCI-H2170,train,262,150-299
ncih2170_facs_fish_0723_sorted_ctrl_57,NCI-H2170,train,284,150-299
ncih2170_facs_fish_0723_sorted_ctrl_59,NCI-H2170,train,277,150-299
ncih2170_facs_fish_0723_sorted_ctrl_64,NCI-H2170,train,333,300+
ncih2170_facs_fish_0723_sorted_ctrl_65,NCI-H2170,train,139,50-149
ncih2170_facs_fish_0723_sorted_ctrl_66,NCI-H2170,train,58,50-149
ncih2170_facs_fish_0723_sorted_ctrl_68,NCI-H2170,train,266,150-299
ncih2170_facs_fish_0723_sorted_ctrl_72,NCI-H2170,train,259,150-299
ncih2170_facs_fish_0723_sorted_ctrl_74,NCI-H2170,train,73,50-149
ncih2170_facs_fish_0723_sorted_ctrl_75,NCI-H2170,train,205,150-299
ncih2170_facs_fish_0723_sorted_ctrl_76,NCI-H2170,train,291,150-299
ncih2170_facs_fish_0723_sorted_ctrl_77,NCI-H2170,train,199,150-299
ncih2170_facs_fish_0723_sorted_ctrl_79,NCI-H2170,train,27,10-49
ncih2170_facs_fish_0723_sorted_ctrl_85,NCI-H2170,train,249,150-299
ncih2170_facs_fish_0723_sorted_ctrl_87,NCI-H2170,train,190,150-299
ncih2170_facs_fish_0723_sorted_ctrl_9,NCI-H2170,train,87,50-149
ncih2170_facs_fish_0723_sorted_ctrl_99,NCI-H2170,train,203,150-299
ncih2170_jc_jq1_ic50_24h_1,NCI-H2170,train,83,50-149
ncih2170_jc_jq1_ic50_24h_101,NCI-H2170,train,99,50-149
ncih2170_jc_jq1_ic50_24h_104,NCI-H2170,train,74,50-149
ncih2170_jc_jq1_ic50_24h_106,NCI-H2170,train,239,150-299
ncih2170_jc_jq1_ic50_24h_111,NCI-H2170,train,128,50-149
ncih2170_jc_jq1_ic50_24h_112,NCI-H2170,train,308,300+
ncih2170_jc_jq1_ic50_24h_113,NCI-H2170,train,200,150-299
ncih2170_jc_jq1_ic50_24h_114,NCI-H2170,train,250,150-299
ncih2170_jc_jq1_ic50_24h_115,NCI-H2170,train,180,150-299
ncih2170_jc_jq1_ic50_24h_117,NCI-H2170,train,135,50-149
ncih2170_jc_jq1_ic50_24h_118,NCI-H2170,train,105,50-149
ncih2170_jc_jq1_ic50_24h_119,NCI-H2170,train,177,150-299
ncih2170_jc_jq1_ic50_24h_120,NCI-H2170,train,143,50-149
ncih2170_jc_jq1_ic50_24h_2,NCI-H2170,train,783,300+
ncih2170_jc_jq1_ic50_24h_21,NCI-H2170,train,180,150-299
ncih2170_jc_jq1_ic50_24h_24,NCI-H2170,train,99,50-149
ncih2170_jc_jq1_ic50_24h_25,NCI-H2170,train,93,50-149
ncih2170_jc_jq1_ic50_24h_26,NCI-H2170,train,142,50-149
ncih2170_jc_jq1_ic50_24h_27,NCI-H2170,train,438,300+
ncih2170_jc_jq1_ic50_24h_29,NCI-H2170,train,201,150-299
ncih2170_jc_jq1_ic50_24h_30,NCI-H2170,train,163,150-299
ncih2170_jc_jq1_ic50_24h_31,NCI-H2170,train,274,150-299
ncih2170_jc_jq1_ic50_24h_33,NCI-H2170,train,121,50-149
ncih2170_jc_jq1_ic50_24h_40,NCI-H2170,train,406,300+
ncih2170_jc_jq1_ic50_24h_41,NCI-H2170,train,69,50-149
ncih2170_jc_jq1_ic50_24h_42,NCI-H2170,train,51,50-149
ncih2170_jc_jq1_ic50_24h_47,NCI-H2170,train,120,50-149
ncih2170_jc_jq1_ic50_24h_5,NCI-H2170,train,86,50-149
ncih2170_jc_jq1_ic50_24h_51,NCI-H2170,train,323,300+
ncih2170_jc_jq1_ic50_24h_53,NCI-H2170,train,127,50-149
ncih2170_jc_jq1_ic50_24h_54,NCI-H2170,train,101,50-149
ncih2170_jc_jq1_ic50_24h_56,NCI-H2170,train,265,150-299
ncih2170_jc_jq1_ic50_24h_61,NCI-H2170,train,50,50-149
ncih2170_jc_jq1_ic50_24h_62,NCI-H2170,train,155,150-299
ncih2170_jc_jq1_ic50_24h_64,NCI-H2170,train,102,50-149
ncih2170_jc_jq1_ic50_24h_66,NCI-H2170,train,246,150-299
ncih2170_jc_jq1_ic50_24h_67,NCI-H2170,train,118,50-149
ncih2170_jc_jq1_ic50_24h_68,NCI-H2170,train,160,150-299
ncih2170_jc_jq1_ic50_24h_69,NCI-H2170,train,62,50-149
ncih2170_jc_jq1_ic50_24h_72,NCI-H2170,train,94,50-149
ncih2170_jc_jq1_ic50_24h_73,NCI-H2170,train,123,50-149
ncih2170_jc_jq1_ic50_24h_74,NCI-H2170,train,314,300+
ncih2170_jc_jq1_ic50_24h_75,NCI-H2170,train,111,50-149
ncih2170_jc_jq1_ic50_24h_76_a,NCI-H2170,train,149,50-149
ncih2170_jc_jq1_ic50_24h_79,NCI-H2170,train,110,50-149
ncih2170_jc_jq1_ic50_24h_89,NCI-H2170,train,134,50-149
ncih2170_jc_jq1_ic50_24h_91,NCI-H2170,train,125,50-149
ncih2170_jc_jq1_ic50_24h_92,NCI-H2170,train,141,50-149
ncih2170_jc_jq1_ic50_24h_93,NCI-H2170,train,419,300+
ncih2170_jc_jq1_ic50_24h_94,NCI-H2170,train,135,50-149
ncih2170_jc_jq1_ic50_24h_95,NCI-H2170,train,58,50-149
ncih2170_jc_jq1_ic50_24h_96,NCI-H2170,train,69,50-149
ncih2170_jc_jq1_ic50_24h_97,NCI-H2170,train,53,50-149
ncih2170_jc_lap_ic50_24h_10,NCI-H2170,train,103,50-149
ncih2170_jc_lap_ic50_24h_101,NCI-H2170,train,278,150-299
ncih2170_jc_lap_ic50_24h_102,NCI-H2170,train,125,50-149
ncih2170_jc_lap_ic50_24h_104,NCI-H2170,train,151,150-299
ncih2170_jc_lap_ic50_24h_106,NCI-H2170,train,166,150-299
ncih2170_jc_lap_ic50_24h_108,NCI-H2170,train,70,50-149
ncih2170_jc_lap_ic50_24h_109,NCI-H2170,train,99,50-149
ncih2170_jc_lap_ic50_24h_112,NCI-H2170,train,210,150-299
ncih2170_jc_lap_ic50_24h_114,NCI-H2170,train,50,50-149
ncih2170_jc_lap_ic50_24h_115,NCI-H2170,train,125,50-149
ncih2170_jc_lap_ic50_24h_116,NCI-H2170,train,101,50-149
ncih2170_jc_lap_ic50_24h_118,NCI-H2170,train,63,50-149
ncih2170_jc_lap_ic50_24h_119,NCI-H2170,train,120,50-149
ncih2170_jc_lap_ic50_24h_17,NCI-H2170,train,54,50-149
ncih2170_jc_lap_ic50_24h_19,NCI-H2170,train,82,50-149
ncih2170_jc_lap_ic50_24h_20,NCI-H2170,train,177,150-299
ncih2170_jc_lap_ic50_24h_21,NCI-H2170,train,242,150-299
ncih2170_jc_lap_ic50_24h_24,NCI-H2170,train,97,50-149
ncih2170_jc_lap_ic50_24h_25,NCI-H2170,train,107,50-149
ncih2170_jc_lap_ic50_24h_27,NCI-H2170,train,65,50-149
ncih2170_jc_lap_ic50_24h_29f,NCI-H2170,train,101,50-149
ncih2170_jc_lap_ic50_24h_31,NCI-H2170,train,132,50-149
ncih2170_jc_lap_ic50_24h_32,NCI-H2170,train,54,50-149
ncih2170_jc_lap_ic50_24h_33,NCI-H2170,train,185,150-299
ncih2170_jc_lap_ic50_24h_36,NCI-H2170,train,36,10-49
ncih2170_jc_lap_ic50_24h_39,NCI-H2170,train,122,50-149
ncih2170_jc_lap_ic50_24h_41,NCI-H2170,train,185,150-299
ncih2170_jc_lap_ic50_24h_45,NCI-H2170,train,145,50-149
ncih2170_jc_lap_ic50_24h_48,NCI-H2170,train,97,50-149
ncih2170_jc_lap_ic50_24h_49,NCI-H2170,train,40,10-49
ncih2170_jc_lap_ic50_24h_4_s,NCI-H2170,train,41,10-49
ncih2170_jc_lap_ic50_24h_52,NCI-H2170,train,150,150-299
ncih2170_jc_lap_ic50_24h_54,NCI-H2170,train,75,50-149
ncih2170_jc_lap_ic50_24h_56,NCI-H2170,train,70,50-149
ncih2170_jc_lap_ic50_24h_57,NCI-H2170,train,202,150-299
ncih2170_jc_lap_ic50_24h_58,NCI-H2170,train,390,300+
ncih2170_jc_lap_ic50_24h_61,NCI-H2170,train,165,150-299
ncih2170_jc_lap_ic50_24h_74,NCI-H2170,train,152,150-299
ncih2170_jc_lap_ic50_24h_75,NCI-H2170,train,177,150-299
ncih2170_jc_lap_ic50_24h_76,NCI-H2170,train,258,150-299
ncih2170_jc_lap_ic50_24h_79,NCI-H2170,train,110,50-149
ncih2170_jc_lap_ic50_24h_8,NCI-H2170,train,68,50-149
ncih2170_jc_lap_ic50_24h_83,NCI-H2170,train,111,50-149
ncih2170_jc_lap_ic50_24h_84,NCI-H2170,train,161,150-299
ncih2170_jc_lap_ic50_24h_88,NCI-H2170,train,239,150-299
ncih2170_jc_lap_ic50_24h_90,NCI-H2170,train,283,150-299
ncih2170_jc_lap_ic50_24h_93,NCI-H2170,train,259,150-299
ncih2170_jc_lap_ic50_24h_96,NCI-H2170,train,261,150-299
ncih2170_jc_lap_ic50_24h_99,NCI-H2170,train,89,50-149
ncih2170_jc_ner_ic50_24h_21,NCI-H2170,train,475,300+
ncih2170_jc_ner_ic50_24h_28,NCI-H2170,train,62,50-149
ncih2170_jc_ner_ic50_24h_3,NCI-H2170,train,574,300+
ncih2170_jc_ner_ic50_24h_47,NCI-H2170,train,212,150-299
ncih2170_jc_ner_ic50_24h_51,NCI-H2170,train,166,150-299
ncih2170_jc_ner_ic50_24h_53,NCI-H2170,train,182,150-299
ncih2170_jc_ner_ic50_24h_6,NCI-H2170,train,109,50-149
ncih2170_jc_ner_ic50_24h_7,NCI-H2170,train,137,50-149
ncih2170_jc_ner_ic50_24h_72,NCI-H2170,train,143,50-149
ncih2170_jc_ner_ic50_24h_73,NCI-H2170,train,78,50-149
ncih2170_jc_ner_ic50_24h_80,NCI-H2170,train,129,50-149
ncih2170_jc_ner_ic50_24h_9,NCI-H2170,train,168,150-299
ncih2170_jc_ner_ic50_72h_39,NCI-H2170,train,396,300+
ncih2170_jc_ner_ic50_72h_40,NCI-H2170,train,349,300+
ncih2170_jc_ner_ic50_72h_66,NCI-H2170,train,163,150-299
ncih2170_jc_ner_ic50_72h_75,NCI-H2170,train,233,150-299
ncih2170_jc_ner_ic50_72h_89,NCI-H2170,train,1687,300+
ncih2170_jc_ner_ic50_72h_92,NCI-H2170,train,233,150-299
ncih2170_post_facs_fish_high_her2_g3_42,NCI-H2170,train,611,300+
ncih2170_post_facs_fish_high_her2_g3_61,NCI-H2170,train,186,150-299
ncih2170_post_facs_fish_high_her2_g3_65,NCI-H2170,train,88,50-149
ncih2170_post_facs_fish_low_her2_g3_101,NCI-H2170,train,153,150-299
ncih2170_post_facs_fish_low_her2_g3_36,NCI-H2170,train,179,150-299
ncih2170_post_facs_fish_low_her2_g3_39,NCI-H2170,train,191,150-299
ncih2170_post_facs_fish_low_her2_g3_59,NCI-H2170,train,45,10-49
ncih2170_post_facs_fish_low_her2_g3_6,NCI-H2170,train,479,300+
ncih2170_post_facs_fish_low_her2_g3_68,NCI-H2170,train,49,10-49
ncih2170_post_facs_fish_low_her2_g3_79,NCI-H2170,train,209,150-299
ncih2170_post_facs_fish_low_her2_g3_82,NCI-H2170,train,75,50-149
ncih716_jc_alo_8nm_24h_12,NCI-H716,train,191,150-299
ncih716_jc_alo_8nm_24h_17,NCI-H716,train,231,150-299
ncih716_jc_alo_8nm_24h_5,NCI-H716,train,128,50-149
ncih716_jc_ctrl_1_10,NCI-H716,train,386,300+
ncih716_jc_ctrl_1_13,NCI-H716,train,211,150-299
ncih716_jc_ctrl_1_16,NCI-H716,train,182,150-299
ncih716_jc_ctrl_1_2,NCI-H716,train,131,50-149
ncih716_jc_ctrl_1_21,NCI-H716,train,195,150-299
ncih716_jc_ctrl_1_24,NCI-H716,train,350,300+
ncih716_jc_ctrl_1_27,NCI-H716,train,281,150-299
ncih716_jc_ctrl_1_3,NCI-H716,train,127,50-149
ncih716_jc_ctrl_1_42,NCI-H716,train,178,150-299
ncih716_jc_ctrl_1_43,NCI-H716,train,194,150-299
ncih716_jc_ctrl_1_48,NCI-H716,train,163,150-299
ncih716_jc_ctrl_1_5,NCI-H716,train,179,150-299
ncih716_jc_ctrl_1_54,NCI-H716,train,134,50-149
ncih716_jc_ctrl_1_55,NCI-H716,train,76,50-149
ncih716_jc_ctrl_1_56,NCI-H716,train,239,150-299
ncih716_jc_ctrl_1_57,NCI-H716,train,137,50-149
ncih716_jc_ctrl_1_59,NCI-H716,train,211,150-299
ncih716_jc_ctrl_1_62,NCI-H716,train,172,150-299
ncih716_jc_ctrl_1_74,NCI-H716,train,369,300+
ncih716_jc_ctrl_1_76,NCI-H716,train,172,150-299
ncih716_jc_ctrl_2_10,NCI-H716,train,116,50-149
ncih716_jc_ctrl_2_16,NCI-H716,train,213,150-299
ncih716_jc_ctrl_2_18,NCI-H716,train,131,50-149
ncih716_jc_ctrl_2_22,NCI-H716,train,135,50-149
ncih716_jc_ctrl_2_23,NCI-H716,train,129,50-149
ncih716_jc_ctrl_2_27,NCI-H716,train,291,150-299
ncih716_jc_ctrl_2_28,NCI-H716,train,223,150-299
ncih716_jc_ctrl_2_32,NCI-H716,train,132,50-149
ncih716_jc_ctrl_2_33,NCI-H716,train,176,150-299
ncih716_jc_ctrl_2_36,NCI-H716,train,262,150-299
ncih716_jc_ctrl_2_37,NCI-H716,train,468,300+
ncih716_jc_ctrl_2_39,NCI-H716,train,273,150-299
ncih716_jc_ctrl_2_40,NCI-H716,train,89,50-149
ncih716_jc_ctrl_2_41,NCI-H716,train,132,50-149
ncih716_jc_ctrl_2_43,NCI-H716,train,144,50-149
ncih716_jc_ctrl_2_45,NCI-H716,train,179,150-299
ncih716_jc_ctrl_2_46,NCI-H716,train,72,50-149
ncih716_jc_ctrl_2_47,NCI-H716,train,135,50-149
ncih716_jc_ctrl_2_48,NCI-H716,train,322,300+
ncih716_jc_ctrl_2_5,NCI-H716,train,368,300+
ncih716_jc_ctrl_2_50,NCI-H716,train,177,150-299
ncih716_jc_ctrl_2_51,NCI-H716,train,181,150-299
ncih716_jc_ctrl_2_54,NCI-H716,train,274,150-299
ncih716_jc_ctrl_2_55,NCI-H716,train,120,50-149
ncih716_jc_ctrl_2_56,NCI-H716,train,349,300+
ncih716_jc_ctrl_2_9,NCI-H716,train,210,150-299
snu16_jc_arv771_800picom_24h_4,SNU16,train,124,50-149
snu16_jc_ctrl_10,SNU16,train,376,300+
snu16_jc_ctrl_102,SNU16,train,271,150-299
snu16_jc_ctrl_103,SNU16,train,206,150-299
snu16_jc_ctrl_107,SNU16,train,370,300+
snu16_jc_ctrl_108,SNU16,train,635,300+
snu16_jc_ctrl_112,SNU16,train,1231,300+
snu16_jc_ctrl_120,SNU16,train,244,150-299
snu16_jc_ctrl_122,SNU16,train,209,150-299
snu16_jc_ctrl_126,SNU16,train,181,150-299
snu16_jc_ctrl_127,SNU16,train,372,300+
snu16_jc_ctrl_129,SNU16,train,224,150-299
snu16_jc_ctrl_131,SNU16,train,225,150-299
snu16_jc_ctrl_132,SNU16,train,311,300+
snu16_jc_ctrl_136,SNU16,train,317,300+
snu16_jc_ctrl_144,SNU16,train,123,50-149
snu16_jc_ctrl_147,SNU16,train,268,150-299
snu16_jc_ctrl_15,SNU16,train,471,300+
snu16_jc_ctrl_20,SNU16,train,990,300+
snu16_jc_ctrl_23,SNU16,train,223,150-299
snu16_jc_ctrl_24,SNU16,train,251,150-299
snu16_jc_ctrl_25,SNU16,train,341,300+
snu16_jc_ctrl_26,SNU16,train,170,150-299
snu16_jc_ctrl_30,SNU16,train,214,150-299
snu16_jc_ctrl_32,SNU16,train,265,150-299
snu16_jc_ctrl_37,SNU16,train,320,300+
snu16_jc_ctrl_38,SNU16,train,178,150-299
snu16_jc_ctrl_39,SNU16,train,271,150-299
snu16_jc_ctrl_42,SNU16,train,90,50-149
snu16_jc_ctrl_43,SNU16,train,105,50-149
snu16_jc_ctrl_47,SNU16,train,392,300+
snu16_jc_ctrl_48,SNU16,train,321,300+
snu16_jc_ctrl_52,SNU16,train,207,150-299
snu16_jc_ctrl_53,SNU16,train,637,300+
snu16_jc_ctrl_54,SNU16,train,151,150-299
snu16_jc_ctrl_55,SNU16,train,241,150-299
snu16_jc_ctrl_56,SNU16,train,256,150-299
snu16_jc_ctrl_57,SNU16,train,222,150-299
snu16_jc_ctrl_59,SNU16,train,297,150-299
snu16_jc_ctrl_61,SNU16,train,144,50-149
snu16_jc_ctrl_63,SNU16,train,190,150-299
snu16_jc_ctrl_65,SNU16,train,413,300+
snu16_jc_ctrl_67,SNU16,train,267,150-299
snu16_jc_ctrl_76,SNU16,train,148,50-149
snu16_jc_ctrl_78,SNU16,train,144,50-149
snu16_jc_ctrl_79,SNU16,train,289,150-299
snu16_jc_ctrl_84,SNU16,train,212,150-299
snu16_jc_ctrl_86,SNU16,train,227,150-299
snu16_jc_ctrl_87,SNU16,train,241,150-299
snu16_jc_ctrl_89,SNU16,train,303,300+
snu16_jc_ctrl_95,SNU16,train,664,300+
snu16_jc_ctrl_98,SNU16,train,459,300+
snu16_jc_jq1_ic50_24h_10,SNU16,train,228,150-299
snu16_jc_jq1_ic50_24h_100,SNU16,train,97,50-149
snu16_jc_jq1_ic50_24h_104,SNU16,train,481,300+
snu16_jc_jq1_ic50_24h_109,SNU16,train,261,150-299
snu16_jc_jq1_ic50_24h_115,SNU16,train,230,150-299
snu16_jc_jq1_ic50_24h_117,SNU16,train,118,50-149
snu16_jc_jq1_ic50_24h_128,SNU16,train,77,50-149
snu16_jc_jq1_ic50_24h_2,SNU16,train,110,50-149
snu16_jc_jq1_ic50_24h_21,SNU16,train,172,150-299
snu16_jc_jq1_ic50_24h_26,SNU16,train,301,300+
snu16_jc_jq1_ic50_24h_28,SNU16,train,433,300+
snu16_jc_jq1_ic50_24h_29,SNU16,train,286,150-299
snu16_jc_jq1_ic50_24h_33_a,SNU16,train,527,300+
snu16_jc_jq1_ic50_24h_45,SNU16,train,374,300+
snu16_jc_jq1_ic50_24h_5,SNU16,train,434,300+
