model,split,cell_line_display,density_bin,gt_count,pred_count,abs_error,signed_error,gt_count_plot,pred_count_plot
Label Engine,train,NCI-H2170,50-149,132,75,57,-57,133,76
Label Engine,test,NCI-H2170,50-149,132,138,6,6,133,139
Label Engine,train,NCI-H2170,50-149,132,80,52,-52,133,81
Label Engine,train,NCI-H2170,50-149,132,121,11,-11,133,122
Label Engine,val,NCI-H716,50-149,132,108,24,-24,133,109
Label Engine,train,NCI-H716,50-149,132,125,7,-7,133,126
Label Engine,train,NCI-H716,50-149,132,70,62,-62,133,71
Label Engine,train,NCI-H2170,50-149,133,136,3,3,134,137
Label Engine,train,NCI-H2170,50-149,133,222,89,89,134,223
Label Engine,train,NCI-H2170,50-149,133,106,27,-27,134,107
Label Engine,train,NCI-H2170,50-149,134,112,22,-22,135,113
Label Engine,val,NCI-H2170,50-149,134,87,47,-47,135,88
Label Engine,train,NCI-H716,50-149,134,97,37,-37,135,98
Label Engine,train,NCI-H2170,50-149,135,137,2,2,136,138
Label Engine,train,NCI-H2170,50-149,135,99,36,-36,136,100
Label Engine,train,NCI-H2170,50-149,135,117,18,-18,136,118
Label Engine,test,NCI-H2170,50-149,135,129,6,-6,136,130
Label Engine,train,NCI-H716,50-149,135,95,40,-40,136,96
Label Engine,train,NCI-H716,50-149,135,111,24,-24,136,112
Label Engine,train,NCI-H2170,50-149,136,138,2,2,137,139
Label Engine,train,NCI-H2170,50-149,136,26,110,-110,137,27
Label Engine,train,NCI-H2170,50-149,137,114,23,-23,138,115
Label Engine,train,NCI-H716,50-149,137,83,54,-54,138,84
Label Engine,train,NCI-H2170,50-149,138,127,11,-11,139,128
Label Engine,test,NCI-H2170,50-149,138,147,9,9,139,148
Label Engine,train,NCI-H2170,50-149,138,122,16,-16,139,123
Label Engine,train,NCI-H2170,50-149,138,114,24,-24,139,115
Label Engine,train,NCI-H2170,50-149,139,135,4,-4,140,136
Label Engine,val,NCI-H2170,50-149,139,143,4,4,140,144
Label Engine,test,NCI-H2170,50-149,139,79,60,-60,140,80
Label Engine,train,NCI-H2170,50-149,139,125,14,-14,140,126
Label Engine,test,NCI-H716,50-149,139,56,83,-83,140,57
Label Engine,test,SNU16,50-149,140,176,36,36,141,177
Label Engine,train,NCI-H2170,50-149,141,139,2,-2,142,140
Label Engine,val,NCI-H2170,50-149,141,149,8,8,142,150
Label Engine,val,NCI-H2170,50-149,141,116,25,-25,142,117
Label Engine,train,NCI-H2170,50-149,141,118,23,-23,142,119
Label Engine,train,SNU16,50-149,141,136,5,-5,142,137
Label Engine,train,SNU16,50-149,141,108,33,-33,142,109
Label Engine,train,NCI-H2170,50-149,142,153,11,11,143,154
Label Engine,test,NCI-H2170,50-149,142,124,18,-18,143,125
Label Engine,train,NCI-H2170,50-149,142,95,47,-47,143,96
Label Engine,train,NCI-H2170,50-149,142,70,72,-72,143,71
Label Engine,train,NCI-H2170,50-149,142,140,2,-2,143,141
Label Engine,train,NCI-H2170,50-149,142,138,4,-4,143,139
Label Engine,train,SNU16,50-149,142,88,54,-54,143,89
Label Engine,val,COLO320DM,50-149,143,131,12,-12,144,132
Label Engine,train,NCI-H2170,50-149,143,143,0,0,144,144
Label Engine,train,NCI-H2170,50-149,143,84,59,-59,144,85
Label Engine,val,NCI-H2170,50-149,143,145,2,2,144,146
Label Engine,train,NCI-H2170,50-149,143,117,26,-26,144,118
Label Engine,train,NCI-H2170,50-149,143,125,18,-18,144,126
Label Engine,train,COLO320DM,50-149,144,130,14,-14,145,131
Label Engine,val,NCI-H716,50-149,144,67,77,-77,145,68
Label Engine,train,NCI-H716,50-149,144,45,99,-99,145,46
Label Engine,train,SNU16,50-149,144,130,14,-14,145,131
Label Engine,train,SNU16,50-149,144,89,55,-55,145,90
Label Engine,train,NCI-H2170,50-149,145,137,8,-8,146,138
Label Engine,val,NCI-H2170,50-149,145,132,13,-13,146,133
Label Engine,train,NCI-H2170,50-149,145,109,36,-36,146,110
Label Engine,train,NCI-H2170,50-149,146,148,2,2,147,149
Label Engine,train,NCI-H2170,50-149,146,131,15,-15,147,132
Label Engine,train,NCI-H2170,50-149,146,137,9,-9,147,138
Label Engine,train,NCI-H2170,50-149,147,126,21,-21,148,127
Label Engine,train,NCI-H2170,50-149,147,140,7,-7,148,141
Label Engine,val,NCI-H2170,50-149,147,149,2,2,148,150
Label Engine,train,NCI-H2170,50-149,147,128,19,-19,148,129
Label Engine,val,NCI-H2170,50-149,147,95,52,-52,148,96
Label Engine,test,NCI-H2170,50-149,148,147,1,-1,149,148
Label Engine,val,NCI-H2170,50-149,148,135,13,-13,149,136
Label Engine,train,NCI-H2170,50-149,148,151,3,3,149,152
Label Engine,val,NCI-H2170,50-149,148,102,46,-46,149,103
Label Engine,val,NCI-H716,50-149,148,106,42,-42,149,107
Label Engine,train,SNU16,50-149,148,120,28,-28,149,121
Label Engine,train,NCI-H2170,50-149,149,136,13,-13,150,137
Label Engine,train,NCI-H2170,50-149,149,128,21,-21,150,129
Label Engine,train,NCI-H2170,150-299,150,147,3,-3,151,148
Label Engine,train,NCI-H2170,150-299,150,151,1,1,151,152
Label Engine,train,NCI-H2170,150-299,150,173,23,23,151,174
Label Engine,val,NCI-H2170,150-299,150,129,21,-21,151,130
Label Engine,train,NCI-H2170,150-299,150,126,24,-24,151,127
Label Engine,test,NCI-H716,150-299,150,74,76,-76,151,75
Label Engine,test,SNU16,150-299,150,105,45,-45,151,106
Label Engine,val,NCI-H2170,150-299,151,153,2,2,152,154
Label Engine,train,NCI-H2170,150-299,151,135,16,-16,152,136
Label Engine,test,NCI-H2170,150-299,151,108,43,-43,152,109
Label Engine,train,SNU16,150-299,151,162,11,11,152,163
Label Engine,train,NCI-H2170,150-299,152,134,18,-18,153,135
Label Engine,train,NCI-H2170,150-299,152,92,60,-60,153,93
Label Engine,val,NCI-H2170,150-299,152,135,17,-17,153,136
Label Engine,train,NCI-H2170,150-299,152,147,5,-5,153,148
Label Engine,val,NCI-H2170,150-299,152,124,28,-28,153,125
Label Engine,train,NCI-H2170,150-299,152,108,44,-44,153,109
Label Engine,val,NCI-H716,150-299,152,112,40,-40,153,113
Label Engine,train,NCI-H2170,150-299,153,150,3,-3,154,151
Label Engine,train,NCI-H2170,150-299,153,170,17,17,154,171
Label Engine,val,NCI-H2170,150-299,153,143,10,-10,154,144
Label Engine,train,NCI-H2170,150-299,153,151,2,-2,154,152
Label Engine,train,NCI-H2170,150-299,153,165,12,12,154,166
Label Engine,train,NCI-H2170,150-299,154,155,1,1,155,156
Label Engine,train,NCI-H2170,150-299,155,131,24,-24,156,132
Label Engine,train,NCI-H2170,150-299,156,75,81,-81,157,76
Label Engine,val,NCI-H2170,150-299,156,149,7,-7,157,150
Label Engine,val,NCI-H2170,150-299,157,161,4,4,158,162
Label Engine,val,NCI-H2170,150-299,157,161,4,4,158,162
Label Engine,train,NCI-H2170,150-299,157,156,1,-1,158,157
Label Engine,train,NCI-H2170,150-299,157,131,26,-26,158,132
Label Engine,train,SNU16,150-299,157,131,26,-26,158,132
Label Engine,val,NCI-H2170,150-299,158,142,16,-16,159,143
Label Engine,val,NCI-H2170,150-299,158,151,7,-7,159,152
Label Engine,test,SNU16,150-299,158,160,2,2,159,161
Label Engine,val,NCI-H2170,150-299,159,163,4,4,160,164
Label Engine,test,NCI-H2170,150-299,159,159,0,0,160,160
Label Engine,train,NCI-H2170,150-299,159,146,13,-13,160,147
Label Engine,train,NCI-H2170,150-299,160,152,8,-8,161,153
Label Engine,val,NCI-H2170,150-299,160,144,16,-16,161,145
Label Engine,val,NCI-H2170,150-299,160,90,70,-70,161,91
Label Engine,train,NCI-H2170,150-299,160,153,7,-7,161,154
Label Engine,train,NCI-H2170,150-299,161,116,45,-45,162,117
Label Engine,val,SNU16,150-299,161,177,16,16,162,178
Label Engine,train,NCI-H2170,150-299,162,162,0,0,163,163
Label Engine,train,NCI-H2170,150-299,162,154,8,-8,163,155
Label Engine,train,NCI-H2170,150-299,163,170,7,7,164,171
Label Engine,train,NCI-H2170,150-299,163,84,79,-79,164,85
Label Engine,train,NCI-H2170,150-299,163,132,31,-31,164,133
Label Engine,test,NCI-H716,150-299,163,67,96,-96,164,68
Label Engine,train,NCI-H716,150-299,163,153,10,-10,164,154
Label Engine,test,NCI-H2170,150-299,164,141,23,-23,165,142
Label Engine,train,NCI-H2170,150-299,164,134,30,-30,165,135
Label Engine,train,NCI-H2170,150-299,165,158,7,-7,166,159
Label Engine,train,NCI-H2170,150-299,165,113,52,-52,166,114
Label Engine,train,NCI-H2170,150-299,166,106,60,-60,167,107
Label Engine,train,NCI-H2170,150-299,166,147,19,-19,167,148
Label Engine,val,NCI-H716,150-299,166,113,53,-53,167,114
Label Engine,val,NCI-H716,150-299,166,123,43,-43,167,124
Label Engine,test,NCI-H716,150-299,166,105,61,-61,167,106
Label Engine,test,SNU16,150-299,166,119,47,-47,167,120
Label Engine,train,NCI-H2170,150-299,167,156,11,-11,168,157
Label Engine,train,NCI-H2170,150-299,167,179,12,12,168,180
Label Engine,train,NCI-H2170,150-299,168,105,63,-63,169,106
Label Engine,val,NCI-H2170,150-299,168,160,8,-8,169,161
Label Engine,train,NCI-H2170,150-299,168,134,34,-34,169,135
Label Engine,train,NCI-H2170,150-299,168,149,19,-19,169,150
Label Engine,test,NCI-H2170,150-299,169,183,14,14,170,184
Label Engine,val,NCI-H716,150-299,169,75,94,-94,170,76
Label Engine,train,NCI-H2170,150-299,170,173,3,3,171,174
Label Engine,train,NCI-H2170,150-299,170,164,6,-6,171,165
Label Engine,test,NCI-H2170,150-299,170,128,42,-42,171,129
Label Engine,train,SNU16,150-299,170,171,1,1,171,172
Label Engine,test,NCI-H716,150-299,171,81,90,-90,172,82
Label Engine,train,NCI-H2170,150-299,172,178,6,6,173,179
Label Engine,train,NCI-H716,150-299,172,106,66,-66,173,107
Label Engine,train,NCI-H716,150-299,172,160,12,-12,173,161
Label Engine,train,SNU16,150-299,172,22,150,-150,173,23
Label Engine,train,NCI-H2170,150-299,173,164,9,-9,174,165
Label Engine,val,NCI-H2170,150-299,173,141,32,-32,174,142
Label Engine,test,NCI-H2170,150-299,174,153,21,-21,175,154
Label Engine,train,NCI-H2170,150-299,174,140,34,-34,175,141
Label Engine,test,NCI-H2170,150-299,174,177,3,3,175,178
Label Engine,val,SNU16,150-299,174,84,90,-90,175,85
Label Engine,test,NCI-H2170,150-299,175,171,4,-4,176,172
Label Engine,train,NCI-H2170,150-299,175,190,15,15,176,191
Label Engine,test,NCI-H2170,150-299,175,123,52,-52,176,124
Label Engine,train,NCI-H2170,150-299,176,55,121,-121,177,56
Label Engine,train,NCI-H716,150-299,176,96,80,-80,177,97
Label Engine,train,NCI-H2170,150-299,177,129,48,-48,178,130
Label Engine,train,NCI-H2170,150-299,177,152,25,-25,178,153
Label Engine,val,NCI-H2170,150-299,177,145,32,-32,178,146
Label Engine,train,NCI-H2170,150-299,177,158,19,-19,178,159
Label Engine,train,NCI-H716,150-299,177,105,72,-72,178,106
Label Engine,test,SNU16,150-299,177,25,152,-152,178,26
Label Engine,train,NCI-H2170,150-299,178,228,50,50,179,229
Label Engine,test,NCI-H2170,150-299,178,161,17,-17,179,162
Label Engine,train,NCI-H716,150-299,178,56,122,-122,179,57
Label Engine,train,SNU16,150-299,178,144,34,-34,179,145
Label Engine,train,NCI-H2170,150-299,179,172,7,-7,180,173
Label Engine,test,NCI-H2170,150-299,179,154,25,-25,180,155
Label Engine,train,NCI-H2170,150-299,179,181,2,2,180,182
Label Engine,train,NCI-H2170,150-299,179,135,44,-44,180,136
Label Engine,train,NCI-H716,150-299,179,91,88,-88,180,92
Label Engine,train,NCI-H716,150-299,179,96,83,-83,180,97
Label Engine,train,NCI-H2170,150-299,180,163,17,-17,181,164
Label Engine,test,NCI-H2170,150-299,180,180,0,0,181,181
Label Engine,train,NCI-H2170,150-299,180,134,46,-46,181,135
Label Engine,train,NCI-H2170,150-299,180,159,21,-21,181,160
Label Engine,val,NCI-H2170,150-299,181,199,18,18,182,200
Label Engine,train,NCI-H2170,150-299,181,174,7,-7,182,175
Label Engine,train,NCI-H2170,150-299,181,175,6,-6,182,176
Label Engine,train,NCI-H2170,150-299,181,180,1,-1,182,181
Label Engine,train,NCI-H2170,150-299,181,186,5,5,182,187
Label Engine,train,NCI-H2170,150-299,181,143,38,-38,182,144
Label Engine,train,NCI-H716,150-299,181,116,65,-65,182,117
Label Engine,train,SNU16,150-299,181,58,123,-123,182,59
Label Engine,test,NCI-H2170,150-299,182,183,1,1,183,184
Label Engine,test,NCI-H2170,150-299,182,311,129,129,183,312
Label Engine,train,NCI-H2170,150-299,182,140,42,-42,183,141
Label Engine,train,NCI-H716,150-299,182,135,47,-47,183,136
Label Engine,val,NCI-H2170,150-299,183,155,28,-28,184,156
Label Engine,train,NCI-H2170,150-299,183,133,50,-50,184,134
Label Engine,test,SNU16,150-299,183,103,80,-80,184,104
Label Engine,train,NCI-H2170,150-299,184,173,11,-11,185,174
Label Engine,test,NCI-H2170,150-299,184,173,11,-11,185,174
Label Engine,train,NCI-H2170,150-299,184,162,22,-22,185,163
Label Engine,test,NCI-H2170,150-299,184,183,1,-1,185,184
Label Engine,train,NCI-H2170,150-299,184,148,36,-36,185,149
Label Engine,train,NCI-H2170,150-299,185,142,43,-43,186,143
Label Engine,train,NCI-H2170,150-299,185,165,20,-20,186,166
Label Engine,test,NCI-H716,150-299,185,178,7,-7,186,179
Label Engine,train,NCI-H2170,150-299,186,183,3,-3,187,184
Label Engine,train,NCI-H2170,150-299,186,190,4,4,187,191
Label Engine,test,NCI-H2170,150-299,186,197,11,11,187,198
Label Engine,train,NCI-H2170,150-299,186,185,1,-1,187,186
Label Engine,train,NCI-H2170,150-299,187,202,15,15,188,203
Label Engine,test,NCI-H2170,150-299,187,172,15,-15,188,173
Label Engine,val,NCI-H2170,150-299,188,192,4,4,189,193
Label Engine,train,NCI-H2170,150-299,188,114,74,-74,189,115
Label Engine,train,NCI-H2170,150-299,189,135,54,-54,190,136
Label Engine,test,NCI-H2170,150-299,189,166,23,-23,190,167
Label Engine,val,SNU16,150-299,189,62,127,-127,190,63
Label Engine,train,NCI-H2170,150-299,190,163,27,-27,191,164
Label Engine,train,NCI-H2170,150-299,190,181,9,-9,191,182
Label Engine,train,SNU16,150-299,190,274,84,84,191,275
Label Engine,train,NCI-H2170,150-299,191,208,17,17,192,209
Label Engine,train,NCI-H2170,150-299,191,57,134,-134,192,58
Label Engine,val,NCI-H2170,150-299,191,188,3,-3,192,189
Label Engine,test,NCI-H2170,150-299,191,145,46,-46,192,146
Label Engine,train,NCI-H2170,150-299,191,177,14,-14,192,178
Label Engine,train,NCI-H716,150-299,191,109,82,-82,192,110
Label Engine,test,SNU16,150-299,191,94,97,-97,192,95
Label Engine,test,NCI-H2170,150-299,192,186,6,-6,193,187
Label Engine,val,NCI-H2170,150-299,192,165,27,-27,193,166
Label Engine,val,NCI-H2170,150-299,192,161,31,-31,193,162
Label Engine,train,NCI-H2170,150-299,193,170,23,-23,194,171
Label Engine,test,NCI-H2170,150-299,193,153,40,-40,194,154
Label Engine,test,SNU16,150-299,193,112,81,-81,194,113
Label Engine,train,NCI-H2170,150-299,194,208,14,14,195,209
Label Engine,train,NCI-H2170,150-299,194,151,43,-43,195,152
Label Engine,train,NCI-H716,150-299,194,154,40,-40,195,155
Label Engine,val,NCI-H2170,150-299,195,155,40,-40,196,156
Label Engine,train,NCI-H716,150-299,195,130,65,-65,196,131
Label Engine,train,NCI-H2170,150-299,196,123,73,-73,197,124
Label Engine,val,NCI-H2170,150-299,196,188,8,-8,197,189
Label Engine,train,NCI-H2170,150-299,197,197,0,0,198,198
Label Engine,train,NCI-H2170,150-299,197,190,7,-7,198,191
Label Engine,train,NCI-H2170,150-299,197,159,38,-38,198,160
Label Engine,train,NCI-H2170,150-299,199,202,3,3,200,203
Label Engine,train,NCI-H2170,150-299,199,177,22,-22,200,178
Label Engine,train,NCI-H2170,150-299,200,179,21,-21,201,180
Label Engine,train,NCI-H2170,150-299,201,276,75,75,202,277
Label Engine,val,NCI-H2170,150-299,201,52,149,-149,202,53
Label Engine,val,NCI-H2170,150-299,201,218,17,17,202,219
Label Engine,train,NCI-H2170,150-299,201,156,45,-45,202,157
Label Engine,test,NCI-H2170,150-299,202,204,2,2,203,205
Label Engine,train,NCI-H2170,150-299,202,155,47,-47,203,156
Label Engine,val,NCI-H716,150-299,202,85,117,-117,203,86
Label Engine,val,NCI-H2170,150-299,203,195,8,-8,204,196
Label Engine,train,NCI-H2170,150-299,203,175,28,-28,204,176
Label Engine,train,SNU16,150-299,203,139,64,-64,204,140
Label Engine,train,NCI-H2170,150-299,204,198,6,-6,205,199
Label Engine,train,NCI-H2170,150-299,205,214,9,9,206,215
Label Engine,train,NCI-H2170,150-299,205,204,1,-1,206,205
Label Engine,train,NCI-H2170,150-299,206,163,43,-43,207,164
Label Engine,train,SNU16,150-299,206,70,136,-136,207,71
Label Engine,train,NCI-H2170,150-299,207,199,8,-8,208,200
Label Engine,train,NCI-H2170,150-299,207,199,8,-8,208,200
Label Engine,train,NCI-H2170,150-299,207,209,2,2,208,210
Label Engine,val,NCI-H716,150-299,207,146,61,-61,208,147
Label Engine,train,SNU16,150-299,207,310,103,103,208,311
Label Engine,train,NCI-H2170,150-299,209,195,14,-14,210,196
Label Engine,train,NCI-H2170,150-299,209,204,5,-5,210,205
Label Engine,train,NCI-H2170,150-299,209,190,19,-19,210,191
Label Engine,train,SNU16,150-299,209,144,65,-65,210,145
Label Engine,train,NCI-H2170,150-299,210,200,10,-10,211,201
Label Engine,val,NCI-H2170,150-299,210,194,16,-16,211,195
Label Engine,train,NCI-H2170,150-299,210,117,93,-93,211,118
Label Engine,train,NCI-H2170,150-299,210,161,49,-49,211,162
Label Engine,test,NCI-H716,150-299,210,104,106,-106,211,105
Label Engine,train,NCI-H716,150-299,210,111,99,-99,211,112
Label Engine,train,NCI-H2170,150-299,211,187,24,-24,212,188
Label Engine,train,NCI-H2170,150-299,211,94,117,-117,212,95
Label Engine,train,NCI-H2170,150-299,211,90,121,-121,212,91
Label Engine,train,NCI-H2170,150-299,211,182,29,-29,212,183
Label Engine,val,NCI-H2170,150-299,211,186,25,-25,212,187
Label Engine,train,NCI-H716,150-299,211,131,80,-80,212,132
Label Engine,train,NCI-H716,150-299,211,158,53,-53,212,159
Label Engine,val,NCI-H2170,150-299,212,199,13,-13,213,200
Label Engine,train,NCI-H2170,150-299,212,202,10,-10,213,203
Label Engine,train,NCI-H2170,150-299,212,135,77,-77,213,136
Label Engine,train,SNU16,150-299,212,74,138,-138,213,75
Label Engine,train,NCI-H2170,150-299,213,211,2,-2,214,212
Label Engine,train,NCI-H2170,150-299,213,40,173,-173,214,41
Label Engine,val,NCI-H2170,150-299,213,241,28,28,214,242
Label Engine,train,NCI-H716,150-299,213,154,59,-59,214,155
Label Engine,test,SNU16,150-299,213,73,140,-140,214,74
Label Engine,train,NCI-H2170,150-299,214,205,9,-9,215,206
Label Engine,val,NCI-H2170,150-299,214,204,10,-10,215,205
Label Engine,val,NCI-H716,150-299,214,120,94,-94,215,121
Label Engine,train,SNU16,150-299,214,164,50,-50,215,165
Label Engine,train,NCI-H2170,150-299,215,212,3,-3,216,213
Label Engine,train,NCI-H2170,150-299,216,80,136,-136,217,81
Label Engine,test,NCI-H2170,150-299,217,206,11,-11,218,207
Label Engine,train,NCI-H2170,150-299,217,190,27,-27,218,191
Label Engine,train,NCI-H2170,150-299,219,221,2,2,220,222
Label Engine,train,NCI-H2170,150-299,220,209,11,-11,221,210
Label Engine,train,NCI-H2170,150-299,220,242,22,22,221,243
Label Engine,val,NCI-H2170,150-299,220,213,7,-7,221,214
Label Engine,train,NCI-H2170,150-299,221,214,7,-7,222,215
Label Engine,val,SNU16,150-299,221,99,122,-122,222,100
Label Engine,train,SNU16,150-299,222,231,9,9,223,232
Label Engine,val,SNU16,150-299,222,105,117,-117,223,106
Label Engine,val,NCI-H2170,150-299,223,219,4,-4,224,220
Label Engine,test,NCI-H2170,150-299,223,169,54,-54,224,170
Label Engine,train,NCI-H2170,150-299,223,176,47,-47,224,177
Label Engine,train,NCI-H2170,150-299,223,189,34,-34,224,190
Label Engine,test,NCI-H2170,150-299,223,164,59,-59,224,165
Label Engine,train,NCI-H716,150-299,223,151,72,-72,224,152
Label Engine,train,SNU16,150-299,223,155,68,-68,224,156
Label Engine,train,NCI-H2170,150-299,224,200,24,-24,225,201
Label Engine,train,SNU16,150-299,224,140,84,-84,225,141
Label Engine,test,NCI-H2170,150-299,225,213,12,-12,226,214
Label Engine,train,SNU16,150-299,225,160,65,-65,226,161
Label Engine,train,SNU16,150-299,225,119,106,-106,226,120
Label Engine,train,NCI-H2170,150-299,226,131,95,-95,227,132
Label Engine,train,NCI-H2170,150-299,226,249,23,23,227,250
Label Engine,train,NCI-H2170,150-299,226,229,3,3,227,230
Label Engine,train,NCI-H2170,150-299,226,226,0,0,227,227
Label Engine,train,NCI-H2170,150-299,226,165,61,-61,227,166
Label Engine,train,SNU16,150-299,227,190,37,-37,228,191
Label Engine,val,NCI-H2170,150-299,228,206,22,-22,229,207
Label Engine,train,NCI-H2170,150-299,228,195,33,-33,229,196
Label Engine,train,NCI-H2170,150-299,228,186,42,-42,229,187
Label Engine,train,SNU16,150-299,228,148,80,-80,229,149
Label Engine,train,NCI-H2170,150-299,229,285,56,56,230,286
Label Engine,test,NCI-H2170,150-299,229,232,3,3,230,233
Label Engine,train,NCI-H2170,150-299,230,271,41,41,231,272
Label Engine,train,SNU16,150-299,230,103,127,-127,231,104
Label Engine,train,NCI-H2170,150-299,231,219,12,-12,232,220
Label Engine,train,NCI-H716,150-299,231,163,68,-68,232,164
Label Engine,train,NCI-H2170,150-299,232,212,20,-20,233,213
Label Engine,val,SNU16,150-299,232,87,145,-145,233,88
Label Engine,test,NCI-H2170,150-299,233,220,13,-13,234,221
Label Engine,val,NCI-H2170,150-299,233,181,52,-52,234,182
Label Engine,train,NCI-H2170,150-299,233,204,29,-29,234,205
Label Engine,train,NCI-H2170,150-299,233,208,25,-25,234,209
Label Engine,train,NCI-H2170,150-299,235,234,1,-1,236,235
Label Engine,train,NCI-H2170,150-299,235,280,45,45,236,281
Label Engine,train,NCI-H2170,150-299,235,208,27,-27,236,209
Label Engine,test,NCI-H2170,150-299,235,226,9,-9,236,227
Label Engine,train,NCI-H2170,150-299,236,217,19,-19,237,218
Label Engine,train,NCI-H2170,150-299,236,204,32,-32,237,205
Label Engine,train,NCI-H2170,150-299,236,222,14,-14,237,223
Label Engine,val,NCI-H2170,150-299,236,202,34,-34,237,203
Label Engine,test,NCI-H716,150-299,236,144,92,-92,237,145
Label Engine,test,NCI-H2170,150-299,237,235,2,-2,238,236
Label Engine,val,NCI-H2170,150-299,237,177,60,-60,238,178
Label Engine,val,SNU16,150-299,237,27,210,-210,238,28
Label Engine,train,NCI-H2170,150-299,238,197,41,-41,239,198
Label Engine,test,SNU16,150-299,238,186,52,-52,239,187
Label Engine,val,SNU16,150-299,238,124,114,-114,239,125
Label Engine,test,NCI-H2170,150-299,239,250,11,11,240,251
Label Engine,train,NCI-H2170,150-299,239,221,18,-18,240,222
Label Engine,train,NCI-H2170,150-299,239,201,38,-38,240,202
Label Engine,train,NCI-H2170,150-299,239,198,41,-41,240,199
Label Engine,train,NCI-H716,150-299,239,187,52,-52,240,188
Label Engine,val,SNU16,150-299,239,74,165,-165,240,75
Label Engine,train,NCI-H2170,150-299,240,249,9,9,241,250
Label Engine,train,SNU16,150-299,241,271,30,30,242,272
Label Engine,train,SNU16,150-299,241,169,72,-72,242,170
Label Engine,test,NCI-H2170,150-299,242,184,58,-58,243,185
Label Engine,train,NCI-H2170,150-299,242,156,86,-86,243,157
Label Engine,train,SNU16,150-299,242,150,92,-92,243,151
Label Engine,train,NCI-H2170,150-299,243,239,4,-4,244,240
Label Engine,train,NCI-H2170,150-299,243,344,101,101,244,345
Label Engine,train,NCI-H2170,150-299,244,245,1,1,245,246
Label Engine,train,NCI-H2170,150-299,244,234,10,-10,245,235
Label Engine,train,SNU16,150-299,244,103,141,-141,245,104
Label Engine,test,NCI-H2170,150-299,245,258,13,13,246,259
Label Engine,train,NCI-H2170,150-299,245,197,48,-48,246,198
Label Engine,train,NCI-H2170,150-299,245,199,46,-46,246,200
Label Engine,test,NCI-H2170,150-299,246,220,26,-26,247,221
Label Engine,train,NCI-H2170,150-299,246,229,17,-17,247,230
Label Engine,train,NCI-H2170,150-299,246,254,8,8,247,255
Label Engine,test,NCI-H2170,150-299,246,205,41,-41,247,206
Label Engine,train,NCI-H2170,150-299,246,154,92,-92,247,155
Label Engine,test,NCI-H2170,150-299,246,247,1,1,247,248
Label Engine,train,NCI-H2170,150-299,246,184,62,-62,247,185
Label Engine,test,NCI-H2170,150-299,248,244,4,-4,249,245
Label Engine,train,NCI-H2170,150-299,249,256,7,7,250,257
Label Engine,train,NCI-H2170,150-299,249,207,42,-42,250,208
Label Engine,train,NCI-H2170,150-299,250,245,5,-5,251,246
Label Engine,train,NCI-H2170,150-299,250,262,12,12,251,263
Label Engine,train,NCI-H2170,150-299,250,248,2,-2,251,249
Label Engine,train,NCI-H2170,150-299,250,208,42,-42,251,209
Label Engine,test,NCI-H2170,150-299,251,219,32,-32,252,220
Label Engine,train,SNU16,150-299,251,229,22,-22,252,230
Label Engine,test,NCI-H2170,150-299,252,244,8,-8,253,245
Label Engine,train,NCI-H2170,150-299,252,228,24,-24,253,229
Label Engine,train,NCI-H2170,150-299,252,242,10,-10,253,243
Label Engine,train,NCI-H2170,150-299,254,255,1,1,255,256
Label Engine,val,SNU16,150-299,254,240,14,-14,255,241
Label Engine,train,NCI-H2170,150-299,255,239,16,-16,256,240
Label Engine,train,NCI-H2170,150-299,256,301,45,45,257,302
Label Engine,train,SNU16,150-299,256,206,50,-50,257,207
Label Engine,train,NCI-H2170,150-299,257,195,62,-62,258,196
Label Engine,train,NCI-H2170,150-299,257,254,3,-3,258,255
Label Engine,train,NCI-H2170,150-299,258,185,73,-73,259,186
Label Engine,train,NCI-H2170,150-299,258,202,56,-56,259,203
Label Engine,train,NCI-H2170,150-299,259,240,19,-19,260,241
Label Engine,train,NCI-H2170,150-299,259,260,1,1,260,261
Label Engine,train,NCI-H2170,150-299,259,117,142,-142,260,118
Label Engine,train,NCI-H2170,150-299,259,224,35,-35,260,225
Label Engine,train,NCI-H2170,150-299,260,292,32,32,261,293
Label Engine,train,NCI-H2170,150-299,260,242,18,-18,261,243
Label Engine,train,NCI-H2170,150-299,261,265,4,4,262,266
Label Engine,train,NCI-H2170,150-299,261,193,68,-68,262,194
Label Engine,train,SNU16,150-299,261,190,71,-71,262,191
Label Engine,train,NCI-H2170,150-299,262,225,37,-37,263,226
Label Engine,train,NCI-H2170,150-299,262,226,36,-36,263,227
Label Engine,train,NCI-H716,150-299,262,154,108,-108,263,155
Label Engine,train,NCI-H2170,150-299,264,289,25,25,265,290
Label Engine,train,NCI-H2170,150-299,265,249,16,-16,266,250
Label Engine,train,NCI-H2170,150-299,265,221,44,-44,266,222
Label Engine,train,SNU16,150-299,265,235,30,-30,266,236
Label Engine,val,NCI-H2170,150-299,266,265,1,-1,267,266
Label Engine,train,NCI-H2170,150-299,266,260,6,-6,267,261
Label Engine,train,SNU16,150-299,267,234,33,-33,268,235
Label Engine,train,SNU16,150-299,268,115,153,-153,269,116
Label Engine,test,SNU16,150-299,270,145,125,-125,271,146
Label Engine,train,SNU16,150-299,271,157,114,-114,272,158
Label Engine,train,SNU16,150-299,271,91,180,-180,272,92
Label Engine,test,SNU16,150-299,271,211,60,-60,272,212
Label Engine,val,NCI-H2170,150-299,273,235,38,-38,274,236
