uid,split,cell_line,cond,model,gt_count,pred_count
snu16_jc_jq1_ic50_24h_54,val,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),274,320
snu16_jc_jq1_ic50_24h_55,val,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),189,178
snu16_jc_jq1_ic50_24h_56,test,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),150,157
snu16_jc_jq1_ic50_24h_57,train,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),101,122
snu16_jc_jq1_ic50_24h_6,train,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),313,292
snu16_jc_jq1_ic50_24h_61_a,train,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),112,133
snu16_jc_jq1_ic50_24h_66,val,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),238,228
snu16_jc_jq1_ic50_24h_67,test,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),213,198
snu16_jc_jq1_ic50_24h_68,train,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),313,316
snu16_jc_jq1_ic50_24h_69,train,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),444,459
snu16_jc_jq1_ic50_24h_70,train,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),242,253
snu16_jc_jq1_ic50_24h_72,train,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),368,391
snu16_jc_jq1_ic50_24h_75,train,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),394,416
snu16_jc_jq1_ic50_24h_76,train,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),101,101
snu16_jc_jq1_ic50_24h_8,train,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),663,595
snu16_jc_jq1_ic50_24h_81,train,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),142,149
snu16_jc_jq1_ic50_24h_87,train,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),225,241
snu16_jc_jq1_ic50_24h_88,train,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),57,68
snu16_jc_jq1_ic50_24h_89,train,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),203,204
snu16_jc_jq1_ic50_24h_9,val,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),239,222
snu16_jc_jq1_ic50_24h_90,train,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),141,143
snu16_jc_jq1_ic50_24h_91,train,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),111,113
snu16_jc_jq1_ic50_24h_94,train,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),141,142
snu16_jc_jq1_ic50_24h_96,val,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),174,211
snu16_jc_jq1_ic50_24h_97,train,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),157,162
snu16_jc_jq1_ic50_24h_98,val,SNU16,snu16_jc_jq1_ic50_24h,ecCount (peaks),237,336
colo320dm_qpcr_jq1_24h_ctrl_100,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),63,63
colo320dm_qpcr_jq1_24h_ctrl_101,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),45,51
colo320dm_qpcr_jq1_24h_ctrl_103,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),39,41
colo320dm_qpcr_jq1_24h_ctrl_105,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),59,53
colo320dm_qpcr_jq1_24h_ctrl_109,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),71,51
colo320dm_qpcr_jq1_24h_ctrl_110,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),27,27
colo320dm_qpcr_jq1_24h_ctrl_111,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),80,79
colo320dm_qpcr_jq1_24h_ctrl_112,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),83,79
colo320dm_qpcr_jq1_24h_ctrl_114,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),107,98
colo320dm_qpcr_jq1_24h_ctrl_12,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),16,19
colo320dm_qpcr_jq1_24h_ctrl_17,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),13,16
colo320dm_qpcr_jq1_24h_ctrl_18,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),51,47
colo320dm_qpcr_jq1_24h_ctrl_21,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),40,39
colo320dm_qpcr_jq1_24h_ctrl_22,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),65,52
colo320dm_qpcr_jq1_24h_ctrl_23,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),57,53
colo320dm_qpcr_jq1_24h_ctrl_25,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),53,50
colo320dm_qpcr_jq1_24h_ctrl_26,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),22,22
colo320dm_qpcr_jq1_24h_ctrl_27,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),18,15
colo320dm_qpcr_jq1_24h_ctrl_28,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),35,31
colo320dm_qpcr_jq1_24h_ctrl_3,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),144,137
colo320dm_qpcr_jq1_24h_ctrl_31,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),143,143
colo320dm_qpcr_jq1_24h_ctrl_33,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),24,20
colo320dm_qpcr_jq1_24h_ctrl_35,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),57,49
colo320dm_qpcr_jq1_24h_ctrl_36,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),59,54
colo320dm_qpcr_jq1_24h_ctrl_37,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),12,9
colo320dm_qpcr_jq1_24h_ctrl_38,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),41,39
colo320dm_qpcr_jq1_24h_ctrl_39,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),41,49
colo320dm_qpcr_jq1_24h_ctrl_4,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),46,46
colo320dm_qpcr_jq1_24h_ctrl_41,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),101,84
colo320dm_qpcr_jq1_24h_ctrl_43,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),44,42
colo320dm_qpcr_jq1_24h_ctrl_47,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),22,26
colo320dm_qpcr_jq1_24h_ctrl_48,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),32,31
colo320dm_qpcr_jq1_24h_ctrl_49,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),74,67
colo320dm_qpcr_jq1_24h_ctrl_50,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),7,5
colo320dm_qpcr_jq1_24h_ctrl_55,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),34,35
colo320dm_qpcr_jq1_24h_ctrl_58,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),15,15
colo320dm_qpcr_jq1_24h_ctrl_65,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),30,27
colo320dm_qpcr_jq1_24h_ctrl_66_a,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),61,56
colo320dm_qpcr_jq1_24h_ctrl_67,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),91,89
colo320dm_qpcr_jq1_24h_ctrl_69,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),54,44
colo320dm_qpcr_jq1_24h_ctrl_72,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),37,36
colo320dm_qpcr_jq1_24h_ctrl_75,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),47,46
colo320dm_qpcr_jq1_24h_ctrl_78_a,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),26,29
colo320dm_qpcr_jq1_24h_ctrl_78_b,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),52,50
colo320dm_qpcr_jq1_24h_ctrl_79,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),10,11
colo320dm_qpcr_jq1_24h_ctrl_8,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),36,38
colo320dm_qpcr_jq1_24h_ctrl_81,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),59,59
colo320dm_qpcr_jq1_24h_ctrl_82,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),30,30
colo320dm_qpcr_jq1_24h_ctrl_87_a,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),31,26
colo320dm_qpcr_jq1_24h_ctrl_87_b,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),45,50
colo320dm_qpcr_jq1_24h_ctrl_88,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),53,53
colo320dm_qpcr_jq1_24h_ctrl_89,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),15,18
colo320dm_qpcr_jq1_24h_ctrl_9,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),23,25
colo320dm_qpcr_jq1_24h_ctrl_90,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),89,90
colo320dm_qpcr_jq1_24h_ctrl_92,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),55,55
colo320dm_qpcr_jq1_24h_ctrl_95,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),32,32
colo320dm_qpcr_jq1_24h_ctrl_96,test,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),49,39
colo320dm_qpcr_jq1_24h_ctrl_97,train,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),87,88
colo320dm_qpcr_jq1_24h_ctrl_99,val,COLO320DM,colo320dm_qpcr_jq1_24h_ctrl,ecCount (threshold mask),74,76
colo320dm_qpcr_jq1_24h_dmso_104,train,COLO320DM,colo320dm_qpcr_jq1_24h_dmso,ecCount (threshold mask),4,3
colo320dm_qpcr_jq1_24h_dmso_111,test,COLO320DM,colo320dm_qpcr_jq1_24h_dmso,ecCount (threshold mask),4,40
colo320dm_qpcr_jq1_24h_dmso_49,train,COLO320DM,colo320dm_qpcr_jq1_24h_dmso,ecCount (threshold mask),1,60
colo320dm_qpcr_jq1_24h_dmso_6,train,COLO320DM,colo320dm_qpcr_jq1_24h_dmso,ecCount (threshold mask),4,26
colo320dm_qpcr_jq1_24h_dmso_88,val,COLO320DM,colo320dm_qpcr_jq1_24h_dmso,ecCount (threshold mask),4,22
ncih2170_antibiotics_blank_ctrl_1,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),235,239
ncih2170_antibiotics_blank_ctrl_100,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),102,90
ncih2170_antibiotics_blank_ctrl_101,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),266,255
ncih2170_antibiotics_blank_ctrl_102,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),402,364
ncih2170_antibiotics_blank_ctrl_103,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),228,199
ncih2170_antibiotics_blank_ctrl_104,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),316,286
ncih2170_antibiotics_blank_ctrl_105,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),175,169
ncih2170_antibiotics_blank_ctrl_106,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),101,96
ncih2170_antibiotics_blank_ctrl_107,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),559,551
ncih2170_antibiotics_blank_ctrl_109,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),182,174
ncih2170_antibiotics_blank_ctrl_11,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),181,193
ncih2170_antibiotics_blank_ctrl_110,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),411,388
ncih2170_antibiotics_blank_ctrl_111,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),108,83
ncih2170_antibiotics_blank_ctrl_113,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),341,315
ncih2170_antibiotics_blank_ctrl_114,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),154,147
ncih2170_antibiotics_blank_ctrl_115,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),125,122
ncih2170_antibiotics_blank_ctrl_116,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),282,280
ncih2170_antibiotics_blank_ctrl_117,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),307,301
ncih2170_antibiotics_blank_ctrl_118,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),453,445
ncih2170_antibiotics_blank_ctrl_12,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),122,122
ncih2170_antibiotics_blank_ctrl_13,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),86,90
ncih2170_antibiotics_blank_ctrl_14,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),329,402
ncih2170_antibiotics_blank_ctrl_15,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),210,193
ncih2170_antibiotics_blank_ctrl_16,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),91,99
ncih2170_antibiotics_blank_ctrl_17,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),604,530
ncih2170_antibiotics_blank_ctrl_18,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),157,160
ncih2170_antibiotics_blank_ctrl_19,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),92,95
ncih2170_antibiotics_blank_ctrl_2,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),373,370
ncih2170_antibiotics_blank_ctrl_20,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),128,147
ncih2170_antibiotics_blank_ctrl_21,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),224,198
ncih2170_antibiotics_blank_ctrl_22,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),375,358
ncih2170_antibiotics_blank_ctrl_23,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),281,284
ncih2170_antibiotics_blank_ctrl_24,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),153,149
ncih2170_antibiotics_blank_ctrl_25,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),42,49
ncih2170_antibiotics_blank_ctrl_27,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),318,315
ncih2170_antibiotics_blank_ctrl_28,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),256,290
ncih2170_antibiotics_blank_ctrl_29,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),104,105
ncih2170_antibiotics_blank_ctrl_30,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),339,358
ncih2170_antibiotics_blank_ctrl_31,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),88,83
ncih2170_antibiotics_blank_ctrl_32,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),138,134
ncih2170_antibiotics_blank_ctrl_33,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),207,195
ncih2170_antibiotics_blank_ctrl_34,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),91,80
ncih2170_antibiotics_blank_ctrl_35,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),84,93
ncih2170_antibiotics_blank_ctrl_37,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),539,507
ncih2170_antibiotics_blank_ctrl_38,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),402,386
ncih2170_antibiotics_blank_ctrl_39,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),391,382
ncih2170_antibiotics_blank_ctrl_40,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),248,240
ncih2170_antibiotics_blank_ctrl_41,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),76,76
ncih2170_antibiotics_blank_ctrl_42,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),153,155
ncih2170_antibiotics_blank_ctrl_43,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),239,247
ncih2170_antibiotics_blank_ctrl_44,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),181,175
ncih2170_antibiotics_blank_ctrl_47,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),296,291
ncih2170_antibiotics_blank_ctrl_48,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),71,77
ncih2170_antibiotics_blank_ctrl_5,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),597,527
ncih2170_antibiotics_blank_ctrl_50,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),197,192
ncih2170_antibiotics_blank_ctrl_51,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),159,166
ncih2170_antibiotics_blank_ctrl_52,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),324,313
ncih2170_antibiotics_blank_ctrl_53,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),302,289
ncih2170_antibiotics_blank_ctrl_55,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),254,263
ncih2170_antibiotics_blank_ctrl_56,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),240,249
ncih2170_antibiotics_blank_ctrl_57,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),214,230
ncih2170_antibiotics_blank_ctrl_58,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),181,176
ncih2170_antibiotics_blank_ctrl_59,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),207,199
ncih2170_antibiotics_blank_ctrl_6,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),402,374
ncih2170_antibiotics_blank_ctrl_60,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),314,282
ncih2170_antibiotics_blank_ctrl_61,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),259,264
ncih2170_antibiotics_blank_ctrl_62,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),299,290
ncih2170_antibiotics_blank_ctrl_63,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),763,749
ncih2170_antibiotics_blank_ctrl_64,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),124,122
ncih2170_antibiotics_blank_ctrl_65,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),139,135
ncih2170_antibiotics_blank_ctrl_66,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),329,288
ncih2170_antibiotics_blank_ctrl_67,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),250,242
ncih2170_antibiotics_blank_ctrl_69,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),335,287
ncih2170_antibiotics_blank_ctrl_7,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),328,307
ncih2170_antibiotics_blank_ctrl_70,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),446,435
ncih2170_antibiotics_blank_ctrl_71,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),330,314
ncih2170_antibiotics_blank_ctrl_74,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),375,359
ncih2170_antibiotics_blank_ctrl_75,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),133,139
ncih2170_antibiotics_blank_ctrl_76,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),456,446
ncih2170_antibiotics_blank_ctrl_77,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),261,277
ncih2170_antibiotics_blank_ctrl_78,test,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),300,302
ncih2170_antibiotics_blank_ctrl_79,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),337,349
ncih2170_antibiotics_blank_ctrl_80,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),146,154
ncih2170_antibiotics_blank_ctrl_81,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),93,101
ncih2170_antibiotics_blank_ctrl_82,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),99,106
ncih2170_antibiotics_blank_ctrl_84,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),281,268
ncih2170_antibiotics_blank_ctrl_86,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),287,314
ncih2170_antibiotics_blank_ctrl_87,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),90,89
ncih2170_antibiotics_blank_ctrl_88_a,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),343,344
ncih2170_antibiotics_blank_ctrl_89,val,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),94,100
ncih2170_antibiotics_blank_ctrl_9,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),769,720
ncih2170_antibiotics_blank_ctrl_96,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),106,98
ncih2170_antibiotics_blank_ctrl_97,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),146,125
ncih2170_antibiotics_blank_ctrl_98,train,NCI-H2170,ncih2170_antibiotics_blank_ctrl,ecCount (threshold mask),219,224
ncih2170_antibiotics_ps_10,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),160,128
ncih2170_antibiotics_ps_102_b,test,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),252,235
ncih2170_antibiotics_ps_104,val,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),158,152
ncih2170_antibiotics_ps_105,test,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),237,224
ncih2170_antibiotics_ps_106,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),122,115
ncih2170_antibiotics_ps_107_a,test,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),246,216
ncih2170_antibiotics_ps_107_b,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),205,222
ncih2170_antibiotics_ps_111,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),186,185
ncih2170_antibiotics_ps_112,test,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),79,79
ncih2170_antibiotics_ps_113_a,val,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),121,116
ncih2170_antibiotics_ps_113_b,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),142,145
ncih2170_antibiotics_ps_12,val,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),129,140
ncih2170_antibiotics_ps_13,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),398,421
ncih2170_antibiotics_ps_14,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),65,69
ncih2170_antibiotics_ps_16,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),236,205
ncih2170_antibiotics_ps_17,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),197,192
ncih2170_antibiotics_ps_18,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),132,153
ncih2170_antibiotics_ps_19,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),201,221
ncih2170_antibiotics_ps_20,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),69,79
ncih2170_antibiotics_ps_21,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),70,82
ncih2170_antibiotics_ps_22,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),95,91
ncih2170_antibiotics_ps_23,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),115,108
ncih2170_antibiotics_ps_24,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),133,141
ncih2170_antibiotics_ps_25,test,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),284,310
ncih2170_antibiotics_ps_28,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),121,99
ncih2170_antibiotics_ps_29_a,train,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),93,91
ncih2170_antibiotics_ps_29_b,val,NCI-H2170,ncih2170_antibiotics_ps,ecCount (threshold mask),52,52
