model,split,policy,d_max,iou_min,tp,fp,fn,ignored,precision,recall,object_f1
Classic (after opt),test,AND,25.0,0.0,22001,8516,11627,74,0.7209424255333093,0.6542464612822648,0.6859770831709409
Classic (after opt),test,AND,25.0,0.05,18927,11626,14701,38,0.6194809020390797,0.5628345426430356,0.5898007198392048
Classic (after opt),test,AND,25.0,0.1,14223,16353,19405,15,0.4651687598116169,0.422951112168431,0.4430565073827175
Classic (after opt),test,AND,25.0,0.2,7122,23463,26506,6,0.2328592447278077,0.211787795884382,0.2218242411972653
Classic (after opt),test,AND,25.0,0.3,3732,26857,29896,2,0.1220046421916375,0.1109789461163316,0.1162309045891274
Classic (after opt),test,AND,25.0,0.4,2019,28572,31609,0,0.0659998038638815,0.0600392530034495,0.0628785873339665
Classic (after opt),test,AND,25.0,0.5,1141,29450,32487,0,0.0372985518616586,0.0339300582847627,0.0355346548529251
Classic (after opt),test,AND,30.0,0.0,22024,8493,11604,74,0.7216961038109906,0.6549304151302486,0.6866942084340166
Classic (after opt),test,AND,30.0,0.05,18927,11626,14701,38,0.6194809020390797,0.5628345426430356,0.5898007198392048
Classic (after opt),test,AND,30.0,0.1,14223,16353,19405,15,0.4651687598116169,0.422951112168431,0.4430565073827175
Classic (after opt),test,AND,30.0,0.2,7122,23463,26506,6,0.2328592447278077,0.211787795884382,0.2218242411972653
Classic (after opt),test,AND,30.0,0.3,3732,26857,29896,2,0.1220046421916375,0.1109789461163316,0.1162309045891274
Classic (after opt),test,AND,30.0,0.4,2019,28572,31609,0,0.0659998038638815,0.0600392530034495,0.0628785873339665
Classic (after opt),test,AND,30.0,0.5,1141,29450,32487,0,0.0372985518616586,0.0339300582847627,0.0355346548529251
Classic (after opt),test,AND,40.0,0.0,22037,8476,11591,78,0.7222167600694785,0.6553169977399785,0.6871423894233017
Classic (after opt),test,AND,40.0,0.05,18927,11626,14701,38,0.6194809020390797,0.5628345426430356,0.5898007198392048
Classic (after opt),test,AND,40.0,0.1,14223,16353,19405,15,0.4651687598116169,0.422951112168431,0.4430565073827175
Classic (after opt),test,AND,40.0,0.2,7122,23463,26506,6,0.2328592447278077,0.211787795884382,0.2218242411972653
Classic (after opt),test,AND,40.0,0.3,3732,26857,29896,2,0.1220046421916375,0.1109789461163316,0.1162309045891274
Classic (after opt),test,AND,40.0,0.4,2019,28572,31609,0,0.0659998038638815,0.0600392530034495,0.0628785873339665
Classic (after opt),test,AND,40.0,0.5,1141,29450,32487,0,0.0372985518616586,0.0339300582847627,0.0355346548529251
Classic (after opt),test,AND,50.0,0.0,22038,8475,11590,78,0.7222495329859404,0.655346734863804,0.6871735707269921
Classic (after opt),test,AND,50.0,0.05,18927,11626,14701,38,0.6194809020390797,0.5628345426430356,0.5898007198392048
Classic (after opt),test,AND,50.0,0.1,14223,16353,19405,15,0.4651687598116169,0.422951112168431,0.4430565073827175
Classic (after opt),test,AND,50.0,0.2,7122,23463,26506,6,0.2328592447278077,0.211787795884382,0.2218242411972653
Classic (after opt),test,AND,50.0,0.3,3732,26857,29896,2,0.1220046421916375,0.1109789461163316,0.1162309045891274
Classic (after opt),test,AND,50.0,0.4,2019,28572,31609,0,0.0659998038638815,0.0600392530034495,0.0628785873339665
Classic (after opt),test,AND,50.0,0.5,1141,29450,32487,0,0.0372985518616586,0.0339300582847627,0.0355346548529251
Classic (after opt),test,AND,75.0,0.0,22038,8475,11590,78,0.7222495329859404,0.655346734863804,0.6871735707269921
Classic (after opt),test,AND,75.0,0.05,18927,11626,14701,38,0.6194809020390797,0.5628345426430356,0.5898007198392048
Classic (after opt),test,AND,75.0,0.1,14223,16353,19405,15,0.4651687598116169,0.422951112168431,0.4430565073827175
Classic (after opt),test,AND,75.0,0.2,7122,23463,26506,6,0.2328592447278077,0.211787795884382,0.2218242411972653
Classic (after opt),test,AND,75.0,0.3,3732,26857,29896,2,0.1220046421916375,0.1109789461163316,0.1162309045891274
Classic (after opt),test,AND,75.0,0.4,2019,28572,31609,0,0.0659998038638815,0.0600392530034495,0.0628785873339665
Classic (after opt),test,AND,75.0,0.5,1141,29450,32487,0,0.0372985518616586,0.0339300582847627,0.0355346548529251
Classic (after opt),test,AND,100.0,0.0,22038,8475,11590,78,0.7222495329859404,0.655346734863804,0.6871735707269921
Classic (after opt),test,AND,100.0,0.05,18927,11626,14701,38,0.6194809020390797,0.5628345426430356,0.5898007198392048
Classic (after opt),test,AND,100.0,0.1,14223,16353,19405,15,0.4651687598116169,0.422951112168431,0.4430565073827175
Classic (after opt),test,AND,100.0,0.2,7122,23463,26506,6,0.2328592447278077,0.211787795884382,0.2218242411972653
Classic (after opt),test,AND,100.0,0.3,3732,26857,29896,2,0.1220046421916375,0.1109789461163316,0.1162309045891274
Classic (after opt),test,AND,100.0,0.4,2019,28572,31609,0,0.0659998038638815,0.0600392530034495,0.0628785873339665
Classic (after opt),test,AND,100.0,0.5,1141,29450,32487,0,0.0372985518616586,0.0339300582847627,0.0355346548529251
Label Engine,test,OR,5.0,0.0,21929,6976,11699,21,0.7586576716830998,0.6521053883668372,0.7013576831433004
Label Engine,test,OR,5.0,0.05,20835,8085,12793,6,0.7204356846473029,0.6195729749018675,0.666208351985675
Label Engine,test,OR,5.0,0.1,20737,8184,12891,5,0.7170222329794959,0.6166587367669799,0.6630641577003629
Label Engine,test,OR,5.0,0.2,20540,8381,13088,5,0.7102105736316172,0.6108005233733793,0.656765096164607
Label Engine,test,OR,5.0,0.3,20538,8383,13090,5,0.7101414197296082,0.6107410491257286,0.6567011463012998
Label Engine,test,OR,5.0,0.4,20538,8383,13090,5,0.7101414197296082,0.6107410491257286,0.6567011463012998
Label Engine,test,OR,5.0,0.5,20538,8383,13090,5,0.7101414197296082,0.6107410491257286,0.6567011463012998
Label Engine,test,OR,10.0,0.0,24874,3845,8754,207,0.8661165082349664,0.7396812180325919,0.7979213113702344
Label Engine,test,OR,10.0,0.05,24874,3845,8754,207,0.8661165082349664,0.7396812180325919,0.7979213113702344
Label Engine,test,OR,10.0,0.1,24873,3846,8755,207,0.8660816880810613,0.7396514809087665,0.7978892328419972
Label Engine,test,OR,10.0,0.2,24872,3847,8756,207,0.8660468679271562,0.7396217437849412,0.79785715431376
Label Engine,test,OR,10.0,0.3,24872,3847,8756,207,0.8660468679271562,0.7396217437849412,0.79785715431376
Label Engine,test,OR,10.0,0.4,24872,3847,8756,207,0.8660468679271562,0.7396217437849412,0.79785715431376
Label Engine,test,OR,10.0,0.5,24872,3847,8756,207,0.8660468679271562,0.7396217437849412,0.79785715431376
Label Engine,test,OR,15.0,0.0,25247,3184,8381,495,0.8880095670219127,0.75077316521946,0.8136450796822379
Label Engine,test,OR,15.0,0.05,25247,3184,8381,495,0.8880095670219127,0.75077316521946,0.8136450796822379
Label Engine,test,OR,15.0,0.1,25247,3184,8381,495,0.8880095670219127,0.75077316521946,0.8136450796822379
Label Engine,test,OR,15.0,0.2,25247,3184,8381,495,0.8880095670219127,0.75077316521946,0.8136450796822379
Label Engine,test,OR,15.0,0.3,25247,3184,8381,495,0.8880095670219127,0.75077316521946,0.8136450796822379
Label Engine,test,OR,15.0,0.4,25247,3184,8381,495,0.8880095670219127,0.75077316521946,0.8136450796822379
Label Engine,test,OR,15.0,0.5,25247,3184,8381,495,0.8880095670219127,0.75077316521946,0.8136450796822379
Label Engine,test,OR,20.0,0.0,25498,2689,8130,739,0.904601411998439,0.7582371832996313,0.8249777562080401
Label Engine,test,OR,20.0,0.05,25498,2689,8130,739,0.904601411998439,0.7582371832996313,0.8249777562080401
Label Engine,test,OR,20.0,0.1,25498,2689,8130,739,0.904601411998439,0.7582371832996313,0.8249777562080401
Label Engine,test,OR,20.0,0.2,25498,2689,8130,739,0.904601411998439,0.7582371832996313,0.8249777562080401
Label Engine,test,OR,20.0,0.3,25498,2689,8130,739,0.904601411998439,0.7582371832996313,0.8249777562080401
Label Engine,test,OR,20.0,0.4,25498,2689,8130,739,0.904601411998439,0.7582371832996313,0.8249777562080401
Label Engine,test,OR,20.0,0.5,25498,2689,8130,739,0.904601411998439,0.7582371832996313,0.8249777562080401
Label Engine,test,OR,25.0,0.0,25748,2319,7880,859,0.9173762781914704,0.7656714642559772,0.8346867655401572
Label Engine,test,OR,25.0,0.05,25748,2319,7880,859,0.9173762781914704,0.7656714642559772,0.8346867655401572
Label Engine,test,OR,25.0,0.1,25748,2319,7880,859,0.9173762781914704,0.7656714642559772,0.8346867655401572
Label Engine,test,OR,25.0,0.2,25748,2319,7880,859,0.9173762781914704,0.7656714642559772,0.8346867655401572
Label Engine,test,OR,25.0,0.3,25748,2319,7880,859,0.9173762781914704,0.7656714642559772,0.8346867655401572
Label Engine,test,OR,25.0,0.4,25748,2319,7880,859,0.9173762781914704,0.7656714642559772,0.8346867655401572
Label Engine,test,OR,25.0,0.5,25748,2319,7880,859,0.9173762781914704,0.7656714642559772,0.8346867655401572
Label Engine,test,OR,30.0,0.0,25955,2028,7673,943,0.9275274273666154,0.7718270488878316,0.8425443508464397
Label Engine,test,OR,30.0,0.05,25955,2028,7673,943,0.9275274273666154,0.7718270488878316,0.8425443508464397
Label Engine,test,OR,30.0,0.1,25955,2028,7673,943,0.9275274273666154,0.7718270488878316,0.8425443508464397
Label Engine,test,OR,30.0,0.2,25955,2028,7673,943,0.9275274273666154,0.7718270488878316,0.8425443508464397
Label Engine,test,OR,30.0,0.3,25955,2028,7673,943,0.9275274273666154,0.7718270488878316,0.8425443508464397
Label Engine,test,OR,30.0,0.4,25955,2028,7673,943,0.9275274273666154,0.7718270488878316,0.8425443508464397
Label Engine,test,OR,30.0,0.5,25955,2028,7673,943,0.9275274273666154,0.7718270488878316,0.8425443508464397
Label Engine,test,OR,40.0,0.0,26399,1530,7229,997,0.94521823194529,0.7850303318663019,0.8577091151290673
Label Engine,test,OR,40.0,0.05,26399,1530,7229,997,0.94521823194529,0.7850303318663019,0.8577091151290673
Label Engine,test,OR,40.0,0.1,26399,1530,7229,997,0.94521823194529,0.7850303318663019,0.8577091151290673
Label Engine,test,OR,40.0,0.2,26399,1530,7229,997,0.94521823194529,0.7850303318663019,0.8577091151290673
Label Engine,test,OR,40.0,0.3,26399,1530,7229,997,0.94521823194529,0.7850303318663019,0.8577091151290673
Label Engine,test,OR,40.0,0.4,26399,1530,7229,997,0.94521823194529,0.7850303318663019,0.8577091151290673
Label Engine,test,OR,40.0,0.5,26399,1530,7229,997,0.94521823194529,0.7850303318663019,0.8577091151290673
Label Engine,test,OR,50.0,0.0,26782,1210,6846,934,0.9567733638182336,0.7964196502914238,0.8692632262252515
Label Engine,test,OR,50.0,0.05,26782,1210,6846,934,0.9567733638182336,0.7964196502914238,0.8692632262252515
Label Engine,test,OR,50.0,0.1,26782,1210,6846,934,0.9567733638182336,0.7964196502914238,0.8692632262252515
Label Engine,test,OR,50.0,0.2,26782,1210,6846,934,0.9567733638182336,0.7964196502914238,0.8692632262252515
Label Engine,test,OR,50.0,0.3,26782,1210,6846,934,0.9567733638182336,0.7964196502914238,0.8692632262252515
Label Engine,test,OR,50.0,0.4,26782,1210,6846,934,0.9567733638182336,0.7964196502914238,0.8692632262252515
Label Engine,test,OR,50.0,0.5,26782,1210,6846,934,0.9567733638182336,0.7964196502914238,0.8692632262252515
Label Engine,test,OR,75.0,0.0,27407,744,6221,775,0.97357109871763,0.8150053526822886,0.8872594247236116
Label Engine,test,OR,75.0,0.05,27407,744,6221,775,0.97357109871763,0.8150053526822886,0.8872594247236116
Label Engine,test,OR,75.0,0.1,27407,744,6221,775,0.97357109871763,0.8150053526822886,0.8872594247236116
Label Engine,test,OR,75.0,0.2,27407,744,6221,775,0.97357109871763,0.8150053526822886,0.8872594247236116
Label Engine,test,OR,75.0,0.3,27407,744,6221,775,0.97357109871763,0.8150053526822886,0.8872594247236116
Label Engine,test,OR,75.0,0.4,27407,744,6221,775,0.97357109871763,0.8150053526822886,0.8872594247236116
Label Engine,test,OR,75.0,0.5,27407,744,6221,775,0.97357109871763,0.8150053526822886,0.8872594247236116
Label Engine,test,OR,100.0,0.0,27712,496,5916,718,0.9824163357912647,0.8240751754490305,0.8963063587554175
Label Engine,test,OR,100.0,0.05,27712,496,5916,718,0.9824163357912647,0.8240751754490305,0.8963063587554175
Label Engine,test,OR,100.0,0.1,27712,496,5916,718,0.9824163357912647,0.8240751754490305,0.8963063587554175
Label Engine,test,OR,100.0,0.2,27712,496,5916,718,0.9824163357912647,0.8240751754490305,0.8963063587554175
Label Engine,test,OR,100.0,0.3,27712,496,5916,718,0.9824163357912647,0.8240751754490305,0.8963063587554175
Label Engine,test,OR,100.0,0.4,27712,496,5916,718,0.9824163357912647,0.8240751754490305,0.8963063587554175
Label Engine,test,OR,100.0,0.5,27712,496,5916,718,0.9824163357912647,0.8240751754490305,0.8963063587554175
Label Engine,test,AND,5.0,0.0,20103,8822,13525,1,0.6950043215211754,0.5978054002616867,0.6427509471967772
Label Engine,test,AND,5.0,0.05,18531,10395,15097,0,0.6406347230864966,0.5510586416081836,0.5924800971960227
Label Engine,test,AND,5.0,0.1,16582,12343,17046,1,0.5732757130509939,0.493100987272511,0.5301744120985404
Label Engine,test,AND,5.0,0.2,11664,17262,21964,0,0.403235843186061,0.3468538122992744,0.3729257921156121
Label Engine,test,AND,5.0,0.3,6530,22396,27098,0,0.2257484615916476,0.1941834185797549,0.208779614413147
Label Engine,test,AND,5.0,0.4,1521,27405,32107,0,0.0525824517734909,0.0452301653384084,0.0486299836940883
Label Engine,test,AND,5.0,0.5,563,28363,33065,0,0.0194634584802599,0.0167420007136909,0.0180004476132621
Label Engine,test,AND,10.0,0.0,21493,7417,12135,16,0.7434451746800415,0.63914000237897,0.6873580862835396
Label Engine,test,AND,10.0,0.05,18852,10073,14776,1,0.6517545375972342,0.5606042583561318,0.6027528655699966
Label Engine,test,AND,10.0,0.1,16830,12095,16798,1,0.5818496110630942,0.5004757939812061,0.5381036880725145
Label Engine,test,AND,10.0,0.2,11667,17259,21961,0,0.4033395561086911,0.3469430236707506,0.3730217092432139
Label Engine,test,AND,10.0,0.3,6530,22396,27098,0,0.2257484615916476,0.1941834185797549,0.208779614413147
Label Engine,test,AND,10.0,0.4,1521,27405,32107,0,0.0525824517734909,0.0452301653384084,0.0486299836940883
Label Engine,test,AND,10.0,0.5,563,28363,33065,0,0.0194634584802599,0.0167420007136909,0.0180004476132621
Label Engine,test,AND,15.0,0.0,21495,7415,12133,16,0.7435143548945001,0.6391994766266207,0.6874220473951838
Label Engine,test,AND,15.0,0.05,18856,10069,14772,1,0.6518928262748488,0.5607232068514333,0.602880757117964
Label Engine,test,AND,15.0,0.1,16832,12093,16796,1,0.5819187554019015,0.5005352682288569,0.5381676338464981
Label Engine,test,AND,15.0,0.2,11667,17259,21961,0,0.4033395561086911,0.3469430236707506,0.3730217092432139
Label Engine,test,AND,15.0,0.3,6530,22396,27098,0,0.2257484615916476,0.1941834185797549,0.208779614413147
Label Engine,test,AND,15.0,0.4,1521,27405,32107,0,0.0525824517734909,0.0452301653384084,0.0486299836940883
Label Engine,test,AND,15.0,0.5,563,28363,33065,0,0.0194634584802599,0.0167420007136909,0.0180004476132621
Label Engine,test,AND,20.0,0.0,21495,7415,12133,16,0.7435143548945001,0.6391994766266207,0.6874220473951838
Label Engine,test,AND,20.0,0.05,18856,10069,14772,1,0.6518928262748488,0.5607232068514333,0.602880757117964
Label Engine,test,AND,20.0,0.1,16832,12093,16796,1,0.5819187554019015,0.5005352682288569,0.5381676338464981
Label Engine,test,AND,20.0,0.2,11667,17259,21961,0,0.4033395561086911,0.3469430236707506,0.3730217092432139
Label Engine,test,AND,20.0,0.3,6530,22396,27098,0,0.2257484615916476,0.1941834185797549,0.208779614413147
Label Engine,test,AND,20.0,0.4,1521,27405,32107,0,0.0525824517734909,0.0452301653384084,0.0486299836940883
Label Engine,test,AND,20.0,0.5,563,28363,33065,0,0.0194634584802599,0.0167420007136909,0.0180004476132621
Label Engine,test,AND,25.0,0.0,21495,7415,12133,16,0.7435143548945001,0.6391994766266207,0.6874220473951838
Label Engine,test,AND,25.0,0.05,18856,10069,14772,1,0.6518928262748488,0.5607232068514333,0.602880757117964
Label Engine,test,AND,25.0,0.1,16832,12093,16796,1,0.5819187554019015,0.5005352682288569,0.5381676338464981
Label Engine,test,AND,25.0,0.2,11667,17259,21961,0,0.4033395561086911,0.3469430236707506,0.3730217092432139
Label Engine,test,AND,25.0,0.3,6530,22396,27098,0,0.2257484615916476,0.1941834185797549,0.208779614413147
Label Engine,test,AND,25.0,0.4,1521,27405,32107,0,0.0525824517734909,0.0452301653384084,0.0486299836940883
Label Engine,test,AND,25.0,0.5,563,28363,33065,0,0.0194634584802599,0.0167420007136909,0.0180004476132621
Label Engine,test,AND,30.0,0.0,21495,7415,12133,16,0.7435143548945001,0.6391994766266207,0.6874220473951838
Label Engine,test,AND,30.0,0.05,18856,10069,14772,1,0.6518928262748488,0.5607232068514333,0.602880757117964
Label Engine,test,AND,30.0,0.1,16832,12093,16796,1,0.5819187554019015,0.5005352682288569,0.5381676338464981
Label Engine,test,AND,30.0,0.2,11667,17259,21961,0,0.4033395561086911,0.3469430236707506,0.3730217092432139
Label Engine,test,AND,30.0,0.3,6530,22396,27098,0,0.2257484615916476,0.1941834185797549,0.208779614413147
Label Engine,test,AND,30.0,0.4,1521,27405,32107,0,0.0525824517734909,0.0452301653384084,0.0486299836940883
Label Engine,test,AND,30.0,0.5,563,28363,33065,0,0.0194634584802599,0.0167420007136909,0.0180004476132621
Label Engine,test,AND,40.0,0.0,21495,7415,12133,16,0.7435143548945001,0.6391994766266207,0.6874220473951838
Label Engine,test,AND,40.0,0.05,18856,10069,14772,1,0.6518928262748488,0.5607232068514333,0.602880757117964
Label Engine,test,AND,40.0,0.1,16832,12093,16796,1,0.5819187554019015,0.5005352682288569,0.5381676338464981
Label Engine,test,AND,40.0,0.2,11667,17259,21961,0,0.4033395561086911,0.3469430236707506,0.3730217092432139
Label Engine,test,AND,40.0,0.3,6530,22396,27098,0,0.2257484615916476,0.1941834185797549,0.208779614413147
Label Engine,test,AND,40.0,0.4,1521,27405,32107,0,0.0525824517734909,0.0452301653384084,0.0486299836940883
Label Engine,test,AND,40.0,0.5,563,28363,33065,0,0.0194634584802599,0.0167420007136909,0.0180004476132621
Label Engine,test,AND,50.0,0.0,21495,7415,12133,16,0.7435143548945001,0.6391994766266207,0.6874220473951838
Label Engine,test,AND,50.0,0.05,18856,10069,14772,1,0.6518928262748488,0.5607232068514333,0.602880757117964
Label Engine,test,AND,50.0,0.1,16832,12093,16796,1,0.5819187554019015,0.5005352682288569,0.5381676338464981
Label Engine,test,AND,50.0,0.2,11667,17259,21961,0,0.4033395561086911,0.3469430236707506,0.3730217092432139
Label Engine,test,AND,50.0,0.3,6530,22396,27098,0,0.2257484615916476,0.1941834185797549,0.208779614413147
Label Engine,test,AND,50.0,0.4,1521,27405,32107,0,0.0525824517734909,0.0452301653384084,0.0486299836940883
Label Engine,test,AND,50.0,0.5,563,28363,33065,0,0.0194634584802599,0.0167420007136909,0.0180004476132621
Label Engine,test,AND,75.0,0.0,21495,7415,12133,16,0.7435143548945001,0.6391994766266207,0.6874220473951838
Label Engine,test,AND,75.0,0.05,18856,10069,14772,1,0.6518928262748488,0.5607232068514333,0.602880757117964
Label Engine,test,AND,75.0,0.1,16832,12093,16796,1,0.5819187554019015,0.5005352682288569,0.5381676338464981
Label Engine,test,AND,75.0,0.2,11667,17259,21961,0,0.4033395561086911,0.3469430236707506,0.3730217092432139
Label Engine,test,AND,75.0,0.3,6530,22396,27098,0,0.2257484615916476,0.1941834185797549,0.208779614413147
Label Engine,test,AND,75.0,0.4,1521,27405,32107,0,0.0525824517734909,0.0452301653384084,0.0486299836940883
Label Engine,test,AND,75.0,0.5,563,28363,33065,0,0.0194634584802599,0.0167420007136909,0.0180004476132621
Label Engine,test,AND,100.0,0.0,21495,7415,12133,16,0.7435143548945001,0.6391994766266207,0.6874220473951838
Label Engine,test,AND,100.0,0.05,18856,10069,14772,1,0.6518928262748488,0.5607232068514333,0.602880757117964
Label Engine,test,AND,100.0,0.1,16832,12093,16796,1,0.5819187554019015,0.5005352682288569,0.5381676338464981
Label Engine,test,AND,100.0,0.2,11667,17259,21961,0,0.4033395561086911,0.3469430236707506,0.3730217092432139
Label Engine,test,AND,100.0,0.3,6530,22396,27098,0,0.2257484615916476,0.1941834185797549,0.208779614413147
Label Engine,test,AND,100.0,0.4,1521,27405,32107,0,0.0525824517734909,0.0452301653384084,0.0486299836940883
Label Engine,test,AND,100.0,0.5,563,28363,33065,0,0.0194634584802599,0.0167420007136909,0.0180004476132621
ecSeg,test,OR,5.0,0.0,10761,4061,22867,8,0.7260153825394684,0.320001189484953,0.4442105263157895
ecSeg,test,OR,5.0,0.05,9938,4889,23690,3,0.6702637081000877,0.2955275365766623,0.410195026313074
ecSeg,test,OR,5.0,0.1,9759,5068,23869,3,0.6581911377891684,0.2902045914119186,0.4028067278918584
ecSeg,test,OR,5.0,0.2,9693,5134,23935,3,0.6537397990153099,0.2882419412394433,0.4000825508203487
ecSeg,test,OR,5.0,0.3,9693,5134,23935,3,0.6537397990153099,0.2882419412394433,0.4000825508203487
ecSeg,test,OR,5.0,0.4,9693,5134,23935,3,0.6537397990153099,0.2882419412394433,0.4000825508203487
ecSeg,test,OR,5.0,0.5,9693,5134,23935,3,0.6537397990153099,0.2882419412394433,0.4000825508203487
ecSeg,test,OR,10.0,0.0,11911,2850,21717,69,0.8069236501592033,0.3541988818841441,0.492301969455868
ecSeg,test,OR,10.0,0.05,11901,2861,21727,68,0.8061915729575938,0.3539015106458903,0.4918784872907625
ecSeg,test,OR,10.0,0.1,11901,2861,21727,68,0.8061915729575938,0.3539015106458903,0.4918784872907625
ecSeg,test,OR,10.0,0.2,11901,2861,21727,68,0.8061915729575938,0.3539015106458903,0.4918784872907625
ecSeg,test,OR,10.0,0.3,11901,2861,21727,68,0.8061915729575938,0.3539015106458903,0.4918784872907625
ecSeg,test,OR,10.0,0.4,11901,2861,21727,68,0.8061915729575938,0.3539015106458903,0.4918784872907625
ecSeg,test,OR,10.0,0.5,11901,2861,21727,68,0.8061915729575938,0.3539015106458903,0.4918784872907625
ecSeg,test,OR,15.0,0.0,12101,2538,21527,191,0.8266275018785436,0.3598489354109671,0.501419189093998
ecSeg,test,OR,15.0,0.05,12098,2543,21530,189,0.8263096783006625,0.3597597240394909,0.5012741096770184
ecSeg,test,OR,15.0,0.1,12098,2543,21530,189,0.8263096783006625,0.3597597240394909,0.5012741096770184
ecSeg,test,OR,15.0,0.2,12098,2543,21530,189,0.8263096783006625,0.3597597240394909,0.5012741096770184
ecSeg,test,OR,15.0,0.3,12098,2543,21530,189,0.8263096783006625,0.3597597240394909,0.5012741096770184
ecSeg,test,OR,15.0,0.4,12098,2543,21530,189,0.8263096783006625,0.3597597240394909,0.5012741096770184
ecSeg,test,OR,15.0,0.5,12098,2543,21530,189,0.8263096783006625,0.3597597240394909,0.5012741096770184
ecSeg,test,OR,20.0,0.0,12236,2277,21392,317,0.8431061806656102,0.3638634471273938,0.5083400843355975
ecSeg,test,OR,20.0,0.05,12234,2281,21394,315,0.8428522218394764,0.3638039728797431,0.5082358806056956
ecSeg,test,OR,20.0,0.1,12234,2281,21394,315,0.8428522218394764,0.3638039728797431,0.5082358806056956
ecSeg,test,OR,20.0,0.2,12234,2281,21394,315,0.8428522218394764,0.3638039728797431,0.5082358806056956
ecSeg,test,OR,20.0,0.3,12234,2281,21394,315,0.8428522218394764,0.3638039728797431,0.5082358806056956
ecSeg,test,OR,20.0,0.4,12234,2281,21394,315,0.8428522218394764,0.3638039728797431,0.5082358806056956
ecSeg,test,OR,20.0,0.5,12234,2281,21394,315,0.8428522218394764,0.3638039728797431,0.5082358806056956
ecSeg,test,OR,25.0,0.0,12370,2029,21258,431,0.8590874366275436,0.3678482217199952,0.5151269077810399
ecSeg,test,OR,25.0,0.05,12368,2032,21260,430,0.8588888888888889,0.3677887474723444,0.5150328974764721
ecSeg,test,OR,25.0,0.1,12368,2032,21260,430,0.8588888888888889,0.3677887474723444,0.5150328974764721
ecSeg,test,OR,25.0,0.2,12368,2032,21260,430,0.8588888888888889,0.3677887474723444,0.5150328974764721
ecSeg,test,OR,25.0,0.3,12368,2032,21260,430,0.8588888888888889,0.3677887474723444,0.5150328974764721
ecSeg,test,OR,25.0,0.4,12368,2032,21260,430,0.8588888888888889,0.3677887474723444,0.5150328974764721
ecSeg,test,OR,25.0,0.5,12368,2032,21260,430,0.8588888888888889,0.3677887474723444,0.5150328974764721
ecSeg,test,OR,30.0,0.0,12506,1782,21122,542,0.8752799552071668,0.3718924705602474,0.5219968277819518
ecSeg,test,OR,30.0,0.05,12505,1784,21123,541,0.875148715795367,0.371862733436422,0.5219441951708162
ecSeg,test,OR,30.0,0.1,12505,1784,21123,541,0.875148715795367,0.371862733436422,0.5219441951708162
ecSeg,test,OR,30.0,0.2,12505,1784,21123,541,0.875148715795367,0.371862733436422,0.5219441951708162
ecSeg,test,OR,30.0,0.3,12505,1784,21123,541,0.875148715795367,0.371862733436422,0.5219441951708162
ecSeg,test,OR,30.0,0.4,12505,1784,21123,541,0.875148715795367,0.371862733436422,0.5219441951708162
ecSeg,test,OR,30.0,0.5,12505,1784,21123,541,0.875148715795367,0.371862733436422,0.5219441951708162
ecSeg,test,OR,40.0,0.0,12789,1368,20839,673,0.9033693579148124,0.3803080766028309,0.5352725750758607
ecSeg,test,OR,40.0,0.05,12789,1369,20839,672,0.9033055516315864,0.3803080766028309,0.535261373624074
ecSeg,test,OR,40.0,0.1,12789,1369,20839,672,0.9033055516315864,0.3803080766028309,0.535261373624074
ecSeg,test,OR,40.0,0.2,12789,1369,20839,672,0.9033055516315864,0.3803080766028309,0.535261373624074
ecSeg,test,OR,40.0,0.3,12789,1369,20839,672,0.9033055516315864,0.3803080766028309,0.535261373624074
ecSeg,test,OR,40.0,0.4,12789,1369,20839,672,0.9033055516315864,0.3803080766028309,0.535261373624074
ecSeg,test,OR,40.0,0.5,12789,1369,20839,672,0.9033055516315864,0.3803080766028309,0.535261373624074
ecSeg,test,OR,50.0,0.0,13042,1047,20586,741,0.9256867059408048,0.387831568930653,0.5466395624201018
ecSeg,test,OR,50.0,0.05,13042,1048,20586,740,0.9256210078069552,0.387831568930653,0.5466281067940819
ecSeg,test,OR,50.0,0.1,13042,1048,20586,740,0.9256210078069552,0.387831568930653,0.5466281067940819
ecSeg,test,OR,50.0,0.2,13042,1048,20586,740,0.9256210078069552,0.387831568930653,0.5466281067940819
ecSeg,test,OR,50.0,0.3,13042,1048,20586,740,0.9256210078069552,0.387831568930653,0.5466281067940819
ecSeg,test,OR,50.0,0.4,13042,1048,20586,740,0.9256210078069552,0.387831568930653,0.5466281067940819
ecSeg,test,OR,50.0,0.5,13042,1048,20586,740,0.9256210078069552,0.387831568930653,0.5466281067940819
ecSeg,test,OR,75.0,0.0,13607,548,20021,675,0.9612857647474392,0.4046330438919948,0.569533097545152
ecSeg,test,OR,75.0,0.05,13607,548,20021,675,0.9612857647474392,0.4046330438919948,0.569533097545152
ecSeg,test,OR,75.0,0.1,13607,548,20021,675,0.9612857647474392,0.4046330438919948,0.569533097545152
ecSeg,test,OR,75.0,0.2,13607,548,20021,675,0.9612857647474392,0.4046330438919948,0.569533097545152
ecSeg,test,OR,75.0,0.3,13607,548,20021,675,0.9612857647474392,0.4046330438919948,0.569533097545152
ecSeg,test,OR,75.0,0.4,13607,548,20021,675,0.9612857647474392,0.4046330438919948,0.569533097545152
ecSeg,test,OR,75.0,0.5,13607,548,20021,675,0.9612857647474392,0.4046330438919948,0.569533097545152
