model,split,policy,d_max,iou_min,tp,fp,fn,ignored,precision,recall,f1
Classic (before opt),test,or,25.0,0.2,7604,649,26024,84,0.9213619289955168,0.22612108956821697,0.36312408968267235
Classic (before opt),test,or,25.0,0.3,7604,649,26024,84,0.9213619289955168,0.22612108956821697,0.36312408968267235
Classic (before opt),test,or,25.0,0.4,7604,649,26024,84,0.9213619289955168,0.22612108956821697,0.36312408968267235
Classic (before opt),test,or,25.0,0.5,7604,649,26024,84,0.9213619289955168,0.22612108956821697,0.36312408968267235
Classic (before opt),test,or,30.0,0.0,7674,569,25954,94,0.9309717335921388,0.22820268823599382,0.3665544171383535
Classic (before opt),test,or,30.0,0.05,7674,569,25954,94,0.9309717335921388,0.22820268823599382,0.3665544171383535
Classic (before opt),test,or,30.0,0.1,7674,569,25954,94,0.9309717335921388,0.22820268823599382,0.3665544171383535
Classic (before opt),test,or,30.0,0.2,7674,569,25954,94,0.9309717335921388,0.22820268823599382,0.3665544171383535
Classic (before opt),test,or,30.0,0.3,7674,569,25954,94,0.9309717335921388,0.22820268823599382,0.3665544171383535
Classic (before opt),test,or,30.0,0.4,7674,569,25954,94,0.9309717335921388,0.22820268823599382,0.3665544171383535
Classic (before opt),test,or,30.0,0.5,7674,569,25954,94,0.9309717335921388,0.22820268823599382,0.3665544171383535
Classic (before opt),test,or,40.0,0.0,7806,422,25822,109,0.9487117160913953,0.23212798858094444,0.37299311926605505
Classic (before opt),test,or,40.0,0.05,7806,422,25822,109,0.9487117160913953,0.23212798858094444,0.37299311926605505
Classic (before opt),test,or,40.0,0.1,7806,422,25822,109,0.9487117160913953,0.23212798858094444,0.37299311926605505
Classic (before opt),test,or,40.0,0.2,7806,422,25822,109,0.9487117160913953,0.23212798858094444,0.37299311926605505
Classic (before opt),test,or,40.0,0.3,7806,422,25822,109,0.9487117160913953,0.23212798858094444,0.37299311926605505
Classic (before opt),test,or,40.0,0.4,7806,422,25822,109,0.9487117160913953,0.23212798858094444,0.37299311926605505
Classic (before opt),test,or,40.0,0.5,7806,422,25822,109,0.9487117160913953,0.23212798858094444,0.37299311926605505
Classic (before opt),test,or,50.0,0.0,7905,329,25723,103,0.9600437211561816,0.23507196383965742,0.3776694854522001
Classic (before opt),test,or,50.0,0.05,7905,329,25723,103,0.9600437211561816,0.23507196383965742,0.3776694854522001
Classic (before opt),test,or,50.0,0.1,7905,329,25723,103,0.9600437211561816,0.23507196383965742,0.3776694854522001
Classic (before opt),test,or,50.0,0.2,7905,329,25723,103,0.9600437211561816,0.23507196383965742,0.3776694854522001
Classic (before opt),test,or,50.0,0.3,7905,329,25723,103,0.9600437211561816,0.23507196383965742,0.3776694854522001
Classic (before opt),test,or,50.0,0.4,7905,329,25723,103,0.9600437211561816,0.23507196383965742,0.3776694854522001
Classic (before opt),test,or,50.0,0.5,7905,329,25723,103,0.9600437211561816,0.23507196383965742,0.3776694854522001
Classic (before opt),test,or,75.0,0.0,8072,182,25556,83,0.9779500848073661,0.2400380635184965,0.3854639224487847
Classic (before opt),test,or,75.0,0.05,8072,182,25556,83,0.9779500848073661,0.2400380635184965,0.3854639224487847
Classic (before opt),test,or,75.0,0.1,8072,182,25556,83,0.9779500848073661,0.2400380635184965,0.3854639224487847
Classic (before opt),test,or,75.0,0.2,8072,182,25556,83,0.9779500848073661,0.2400380635184965,0.3854639224487847
Classic (before opt),test,or,75.0,0.3,8072,182,25556,83,0.9779500848073661,0.2400380635184965,0.3854639224487847
Classic (before opt),test,or,75.0,0.4,8072,182,25556,83,0.9779500848073661,0.2400380635184965,0.3854639224487847
Classic (before opt),test,or,75.0,0.5,8072,182,25556,83,0.9779500848073661,0.2400380635184965,0.3854639224487847
Classic (before opt),test,or,100.0,0.0,8165,108,25463,64,0.986945485313671,0.24280361603425718,0.3897281687787881
Classic (before opt),test,or,100.0,0.05,8165,108,25463,64,0.986945485313671,0.24280361603425718,0.3897281687787881
Classic (before opt),test,or,100.0,0.1,8165,108,25463,64,0.986945485313671,0.24280361603425718,0.3897281687787881
Classic (before opt),test,or,100.0,0.2,8165,108,25463,64,0.986945485313671,0.24280361603425718,0.3897281687787881
Classic (before opt),test,or,100.0,0.3,8165,108,25463,64,0.986945485313671,0.24280361603425718,0.3897281687787881
Classic (before opt),test,or,100.0,0.4,8165,108,25463,64,0.986945485313671,0.24280361603425718,0.3897281687787881
Classic (before opt),test,or,100.0,0.5,8165,108,25463,64,0.986945485313671,0.24280361603425718,0.3897281687787881
Label Engine,test,and,5.0,0.0,20103,8822,13525,1,0.6950043215211754,0.5978054002616867,0.6427509471967772
Label Engine,test,and,5.0,0.05,18531,10395,15097,0,0.6406347230864966,0.5510586416081836,0.5924800971960227
Label Engine,test,and,5.0,0.1,16582,12343,17046,1,0.5732757130509939,0.493100987272511,0.5301744120985404
Label Engine,test,and,5.0,0.2,11664,17262,21964,0,0.403235843186061,0.3468538122992744,0.3729257921156121
Label Engine,test,and,5.0,0.3,6530,22396,27098,0,0.22574846159164766,0.19418341857975496,0.20877961441314705
Label Engine,test,and,5.0,0.4,1521,27405,32107,0,0.052582451773490975,0.04523016533840847,0.04862998369408831
Label Engine,test,and,5.0,0.5,563,28363,33065,0,0.019463458480259974,0.01674200071369097,0.018000447613262142
Label Engine,test,and,10.0,0.0,21493,7417,12135,16,0.7434451746800415,0.63914000237897,0.6873580862835396
Label Engine,test,and,10.0,0.05,18852,10073,14776,1,0.6517545375972342,0.5606042583561318,0.6027528655699966
Label Engine,test,and,10.0,0.1,16830,12095,16798,1,0.5818496110630942,0.5004757939812061,0.5381036880725145
Label Engine,test,and,10.0,0.2,11667,17259,21961,0,0.40333955610869116,0.3469430236707506,0.3730217092432139
Label Engine,test,and,10.0,0.3,6530,22396,27098,0,0.22574846159164766,0.19418341857975496,0.20877961441314705
Label Engine,test,and,10.0,0.4,1521,27405,32107,0,0.052582451773490975,0.04523016533840847,0.04862998369408831
Label Engine,test,and,10.0,0.5,563,28363,33065,0,0.019463458480259974,0.01674200071369097,0.018000447613262142
Label Engine,test,and,15.0,0.0,21495,7415,12133,16,0.7435143548945001,0.6391994766266207,0.6874220473951838
Label Engine,test,and,15.0,0.05,18856,10069,14772,1,0.6518928262748488,0.5607232068514333,0.602880757117964
Label Engine,test,and,15.0,0.1,16832,12093,16796,1,0.5819187554019015,0.5005352682288569,0.5381676338464981
Label Engine,test,and,15.0,0.2,11667,17259,21961,0,0.40333955610869116,0.3469430236707506,0.3730217092432139
Label Engine,test,and,15.0,0.3,6530,22396,27098,0,0.22574846159164766,0.19418341857975496,0.20877961441314705
Label Engine,test,and,15.0,0.4,1521,27405,32107,0,0.052582451773490975,0.04523016533840847,0.04862998369408831
Label Engine,test,and,15.0,0.5,563,28363,33065,0,0.019463458480259974,0.01674200071369097,0.018000447613262142
Label Engine,test,and,20.0,0.0,21495,7415,12133,16,0.7435143548945001,0.6391994766266207,0.6874220473951838
Label Engine,test,and,20.0,0.05,18856,10069,14772,1,0.6518928262748488,0.5607232068514333,0.602880757117964
Label Engine,test,and,20.0,0.1,16832,12093,16796,1,0.5819187554019015,0.5005352682288569,0.5381676338464981
Label Engine,test,and,20.0,0.2,11667,17259,21961,0,0.40333955610869116,0.3469430236707506,0.3730217092432139
Label Engine,test,and,20.0,0.3,6530,22396,27098,0,0.22574846159164766,0.19418341857975496,0.20877961441314705
Label Engine,test,and,20.0,0.4,1521,27405,32107,0,0.052582451773490975,0.04523016533840847,0.04862998369408831
Label Engine,test,and,20.0,0.5,563,28363,33065,0,0.019463458480259974,0.01674200071369097,0.018000447613262142
Label Engine,test,and,25.0,0.0,21495,7415,12133,16,0.7435143548945001,0.6391994766266207,0.6874220473951838
Label Engine,test,and,25.0,0.05,18856,10069,14772,1,0.6518928262748488,0.5607232068514333,0.602880757117964
Label Engine,test,and,25.0,0.1,16832,12093,16796,1,0.5819187554019015,0.5005352682288569,0.5381676338464981
Label Engine,test,and,25.0,0.2,11667,17259,21961,0,0.40333955610869116,0.3469430236707506,0.3730217092432139
Label Engine,test,and,25.0,0.3,6530,22396,27098,0,0.22574846159164766,0.19418341857975496,0.20877961441314705
Label Engine,test,and,25.0,0.4,1521,27405,32107,0,0.052582451773490975,0.04523016533840847,0.04862998369408831
Label Engine,test,and,25.0,0.5,563,28363,33065,0,0.019463458480259974,0.01674200071369097,0.018000447613262142
Label Engine,test,and,30.0,0.0,21495,7415,12133,16,0.7435143548945001,0.6391994766266207,0.6874220473951838
Label Engine,test,and,30.0,0.05,18856,10069,14772,1,0.6518928262748488,0.5607232068514333,0.602880757117964
Label Engine,test,and,30.0,0.1,16832,12093,16796,1,0.5819187554019015,0.5005352682288569,0.5381676338464981
Label Engine,test,and,30.0,0.2,11667,17259,21961,0,0.40333955610869116,0.3469430236707506,0.3730217092432139
Label Engine,test,and,30.0,0.3,6530,22396,27098,0,0.22574846159164766,0.19418341857975496,0.20877961441314705
Label Engine,test,and,30.0,0.4,1521,27405,32107,0,0.052582451773490975,0.04523016533840847,0.04862998369408831
Label Engine,test,and,30.0,0.5,563,28363,33065,0,0.019463458480259974,0.01674200071369097,0.018000447613262142
Label Engine,test,and,40.0,0.0,21495,7415,12133,16,0.7435143548945001,0.6391994766266207,0.6874220473951838
Label Engine,test,and,40.0,0.05,18856,10069,14772,1,0.6518928262748488,0.5607232068514333,0.602880757117964
Label Engine,test,and,40.0,0.1,16832,12093,16796,1,0.5819187554019015,0.5005352682288569,0.5381676338464981
Label Engine,test,and,40.0,0.2,11667,17259,21961,0,0.40333955610869116,0.3469430236707506,0.3730217092432139
Label Engine,test,and,40.0,0.3,6530,22396,27098,0,0.22574846159164766,0.19418341857975496,0.20877961441314705
Label Engine,test,and,40.0,0.4,1521,27405,32107,0,0.052582451773490975,0.04523016533840847,0.04862998369408831
Label Engine,test,and,40.0,0.5,563,28363,33065,0,0.019463458480259974,0.01674200071369097,0.018000447613262142
Label Engine,test,and,50.0,0.0,21495,7415,12133,16,0.7435143548945001,0.6391994766266207,0.6874220473951838
Label Engine,test,and,50.0,0.05,18856,10069,14772,1,0.6518928262748488,0.5607232068514333,0.602880757117964
Label Engine,test,and,50.0,0.1,16832,12093,16796,1,0.5819187554019015,0.5005352682288569,0.5381676338464981
Label Engine,test,and,50.0,0.2,11667,17259,21961,0,0.40333955610869116,0.3469430236707506,0.3730217092432139
Label Engine,test,and,50.0,0.3,6530,22396,27098,0,0.22574846159164766,0.19418341857975496,0.20877961441314705
Label Engine,test,and,50.0,0.4,1521,27405,32107,0,0.052582451773490975,0.04523016533840847,0.04862998369408831
Label Engine,test,and,50.0,0.5,563,28363,33065,0,0.019463458480259974,0.01674200071369097,0.018000447613262142
Label Engine,test,and,75.0,0.0,21495,7415,12133,16,0.7435143548945001,0.6391994766266207,0.6874220473951838
Label Engine,test,and,75.0,0.05,18856,10069,14772,1,0.6518928262748488,0.5607232068514333,0.602880757117964
Label Engine,test,and,75.0,0.1,16832,12093,16796,1,0.5819187554019015,0.5005352682288569,0.5381676338464981
Label Engine,test,and,75.0,0.2,11667,17259,21961,0,0.40333955610869116,0.3469430236707506,0.3730217092432139
Label Engine,test,and,75.0,0.3,6530,22396,27098,0,0.22574846159164766,0.19418341857975496,0.20877961441314705
Label Engine,test,and,75.0,0.4,1521,27405,32107,0,0.052582451773490975,0.04523016533840847,0.04862998369408831
Label Engine,test,and,75.0,0.5,563,28363,33065,0,0.019463458480259974,0.01674200071369097,0.018000447613262142
Label Engine,test,and,100.0,0.0,21495,7415,12133,16,0.7435143548945001,0.6391994766266207,0.6874220473951838
Label Engine,test,and,100.0,0.05,18856,10069,14772,1,0.6518928262748488,0.5607232068514333,0.602880757117964
Label Engine,test,and,100.0,0.1,16832,12093,16796,1,0.5819187554019015,0.5005352682288569,0.5381676338464981
Label Engine,test,and,100.0,0.2,11667,17259,21961,0,0.40333955610869116,0.3469430236707506,0.3730217092432139
Label Engine,test,and,100.0,0.3,6530,22396,27098,0,0.22574846159164766,0.19418341857975496,0.20877961441314705
Label Engine,test,and,100.0,0.4,1521,27405,32107,0,0.052582451773490975,0.04523016533840847,0.04862998369408831
Label Engine,test,and,100.0,0.5,563,28363,33065,0,0.019463458480259974,0.01674200071369097,0.018000447613262142
Label Engine,test,or,5.0,0.0,21929,6976,11699,21,0.7586576716830998,0.6521053883668372,0.7013576831433004
Label Engine,test,or,5.0,0.05,20835,8085,12793,6,0.7204356846473029,0.6195729749018675,0.666208351985675
Label Engine,test,or,5.0,0.1,20737,8184,12891,5,0.7170222329794959,0.6166587367669799,0.6630641577003629
Label Engine,test,or,5.0,0.2,20540,8381,13088,5,0.7102105736316172,0.6108005233733793,0.656765096164607
Label Engine,test,or,5.0,0.3,20538,8383,13090,5,0.7101414197296082,0.6107410491257286,0.6567011463012998
Label Engine,test,or,5.0,0.4,20538,8383,13090,5,0.7101414197296082,0.6107410491257286,0.6567011463012998
Label Engine,test,or,5.0,0.5,20538,8383,13090,5,0.7101414197296082,0.6107410491257286,0.6567011463012998
Label Engine,test,or,10.0,0.0,24874,3845,8754,207,0.8661165082349664,0.7396812180325919,0.7979213113702344
Label Engine,test,or,10.0,0.05,24874,3845,8754,207,0.8661165082349664,0.7396812180325919,0.7979213113702344
Label Engine,test,or,10.0,0.1,24873,3846,8755,207,0.8660816880810613,0.7396514809087665,0.7978892328419972
Label Engine,test,or,10.0,0.2,24872,3847,8756,207,0.8660468679271562,0.7396217437849412,0.79785715431376
Label Engine,test,or,10.0,0.3,24872,3847,8756,207,0.8660468679271562,0.7396217437849412,0.79785715431376
Label Engine,test,or,10.0,0.4,24872,3847,8756,207,0.8660468679271562,0.7396217437849412,0.79785715431376
Label Engine,test,or,10.0,0.5,24872,3847,8756,207,0.8660468679271562,0.7396217437849412,0.79785715431376
Label Engine,test,or,15.0,0.0,25247,3184,8381,495,0.8880095670219127,0.75077316521946,0.8136450796822379
Label Engine,test,or,15.0,0.05,25247,3184,8381,495,0.8880095670219127,0.75077316521946,0.8136450796822379
Label Engine,test,or,15.0,0.1,25247,3184,8381,495,0.8880095670219127,0.75077316521946,0.8136450796822379
Label Engine,test,or,15.0,0.2,25247,3184,8381,495,0.8880095670219127,0.75077316521946,0.8136450796822379
Label Engine,test,or,15.0,0.3,25247,3184,8381,495,0.8880095670219127,0.75077316521946,0.8136450796822379
Label Engine,test,or,15.0,0.4,25247,3184,8381,495,0.8880095670219127,0.75077316521946,0.8136450796822379
Label Engine,test,or,15.0,0.5,25247,3184,8381,495,0.8880095670219127,0.75077316521946,0.8136450796822379
Label Engine,test,or,20.0,0.0,25498,2689,8130,739,0.904601411998439,0.7582371832996313,0.8249777562080401
Label Engine,test,or,20.0,0.05,25498,2689,8130,739,0.904601411998439,0.7582371832996313,0.8249777562080401
Label Engine,test,or,20.0,0.1,25498,2689,8130,739,0.904601411998439,0.7582371832996313,0.8249777562080401
Label Engine,test,or,20.0,0.2,25498,2689,8130,739,0.904601411998439,0.7582371832996313,0.8249777562080401
Label Engine,test,or,20.0,0.3,25498,2689,8130,739,0.904601411998439,0.7582371832996313,0.8249777562080401
Label Engine,test,or,20.0,0.4,25498,2689,8130,739,0.904601411998439,0.7582371832996313,0.8249777562080401
Label Engine,test,or,20.0,0.5,25498,2689,8130,739,0.904601411998439,0.7582371832996313,0.8249777562080401
Label Engine,test,or,25.0,0.0,25748,2319,7880,859,0.9173762781914704,0.7656714642559772,0.8346867655401572
Label Engine,test,or,25.0,0.05,25748,2319,7880,859,0.9173762781914704,0.7656714642559772,0.8346867655401572
Label Engine,test,or,25.0,0.1,25748,2319,7880,859,0.9173762781914704,0.7656714642559772,0.8346867655401572
Label Engine,test,or,25.0,0.2,25748,2319,7880,859,0.9173762781914704,0.7656714642559772,0.8346867655401572
Label Engine,test,or,25.0,0.3,25748,2319,7880,859,0.9173762781914704,0.7656714642559772,0.8346867655401572
Label Engine,test,or,25.0,0.4,25748,2319,7880,859,0.9173762781914704,0.7656714642559772,0.8346867655401572
Label Engine,test,or,25.0,0.5,25748,2319,7880,859,0.9173762781914704,0.7656714642559772,0.8346867655401572
Label Engine,test,or,30.0,0.0,25955,2028,7673,943,0.9275274273666154,0.7718270488878316,0.8425443508464397
Label Engine,test,or,30.0,0.05,25955,2028,7673,943,0.9275274273666154,0.7718270488878316,0.8425443508464397
Label Engine,test,or,30.0,0.1,25955,2028,7673,943,0.9275274273666154,0.7718270488878316,0.8425443508464397
Label Engine,test,or,30.0,0.2,25955,2028,7673,943,0.9275274273666154,0.7718270488878316,0.8425443508464397
Label Engine,test,or,30.0,0.3,25955,2028,7673,943,0.9275274273666154,0.7718270488878316,0.8425443508464397
Label Engine,test,or,30.0,0.4,25955,2028,7673,943,0.9275274273666154,0.7718270488878316,0.8425443508464397
Label Engine,test,or,30.0,0.5,25955,2028,7673,943,0.9275274273666154,0.7718270488878316,0.8425443508464397
Label Engine,test,or,40.0,0.0,26399,1530,7229,997,0.9452182319452899,0.7850303318663019,0.8577091151290673
Label Engine,test,or,40.0,0.05,26399,1530,7229,997,0.9452182319452899,0.7850303318663019,0.8577091151290673
Label Engine,test,or,40.0,0.1,26399,1530,7229,997,0.9452182319452899,0.7850303318663019,0.8577091151290673
Label Engine,test,or,40.0,0.2,26399,1530,7229,997,0.9452182319452899,0.7850303318663019,0.8577091151290673
Label Engine,test,or,40.0,0.3,26399,1530,7229,997,0.9452182319452899,0.7850303318663019,0.8577091151290673
Label Engine,test,or,40.0,0.4,26399,1530,7229,997,0.9452182319452899,0.7850303318663019,0.8577091151290673
Label Engine,test,or,40.0,0.5,26399,1530,7229,997,0.9452182319452899,0.7850303318663019,0.8577091151290673
Label Engine,test,or,50.0,0.0,26782,1210,6846,934,0.9567733638182337,0.7964196502914238,0.8692632262252515
Label Engine,test,or,50.0,0.05,26782,1210,6846,934,0.9567733638182337,0.7964196502914238,0.8692632262252515
Label Engine,test,or,50.0,0.1,26782,1210,6846,934,0.9567733638182337,0.7964196502914238,0.8692632262252515
Label Engine,test,or,50.0,0.2,26782,1210,6846,934,0.9567733638182337,0.7964196502914238,0.8692632262252515
Label Engine,test,or,50.0,0.3,26782,1210,6846,934,0.9567733638182337,0.7964196502914238,0.8692632262252515
Label Engine,test,or,50.0,0.4,26782,1210,6846,934,0.9567733638182337,0.7964196502914238,0.8692632262252515
Label Engine,test,or,50.0,0.5,26782,1210,6846,934,0.9567733638182337,0.7964196502914238,0.8692632262252515
Label Engine,test,or,75.0,0.0,27407,744,6221,775,0.9735710987176299,0.8150053526822886,0.8872594247236116
Label Engine,test,or,75.0,0.05,27407,744,6221,775,0.9735710987176299,0.8150053526822886,0.8872594247236116
Label Engine,test,or,75.0,0.1,27407,744,6221,775,0.9735710987176299,0.8150053526822886,0.8872594247236116
Label Engine,test,or,75.0,0.2,27407,744,6221,775,0.9735710987176299,0.8150053526822886,0.8872594247236116
Label Engine,test,or,75.0,0.3,27407,744,6221,775,0.9735710987176299,0.8150053526822886,0.8872594247236116
Label Engine,test,or,75.0,0.4,27407,744,6221,775,0.9735710987176299,0.8150053526822886,0.8872594247236116
Label Engine,test,or,75.0,0.5,27407,744,6221,775,0.9735710987176299,0.8150053526822886,0.8872594247236116
Label Engine,test,or,100.0,0.0,27712,496,5916,718,0.9824163357912649,0.8240751754490305,0.8963063587554175
Label Engine,test,or,100.0,0.05,27712,496,5916,718,0.9824163357912649,0.8240751754490305,0.8963063587554175
Label Engine,test,or,100.0,0.1,27712,496,5916,718,0.9824163357912649,0.8240751754490305,0.8963063587554175
Label Engine,test,or,100.0,0.2,27712,496,5916,718,0.9824163357912649,0.8240751754490305,0.8963063587554175
Label Engine,test,or,100.0,0.3,27712,496,5916,718,0.9824163357912649,0.8240751754490305,0.8963063587554175
Label Engine,test,or,100.0,0.4,27712,496,5916,718,0.9824163357912649,0.8240751754490305,0.8963063587554175
Label Engine,test,or,100.0,0.5,27712,496,5916,718,0.9824163357912649,0.8240751754490305,0.8963063587554175
MIA,test,and,5.0,0.0,18543,8827,15085,3,0.6774936061381074,0.5514154870940883,0.6079871471195777
MIA,test,and,5.0,0.05,17742,9631,15886,0,0.6481569429730026,0.527596050909956,0.5816953820429174
MIA,test,and,5.0,0.1,15403,11970,18225,0,0.5627077777371863,0.45804091828238375,0.5050081146210718
MIA,test,and,5.0,0.2,9811,17562,23817,0,0.3584188799181675,0.29175092185083856,0.321666857920362
MIA,test,and,5.0,0.3,1344,26029,32284,0,0.04909947758740365,0.03996669442131557,0.044064851395878755
MIA,test,and,5.0,0.4,380,26993,33248,0,0.013882292770248056,0.011300107053645772,0.012458812150620481
MIA,test,and,5.0,0.5,170,27203,33458,0,0.006210499397216235,0.005055311050315214,0.005573679120014426
MIA,test,and,10.0,0.0,21280,6061,12348,32,0.778318276580959,0.6328059950041632,0.698059669668192
MIA,test,and,10.0,0.05,18175,9197,15453,1,0.6639997077305275,0.5404722255263471,0.5959016393442623
MIA,test,and,10.0,0.1,15584,11789,18044,0,0.5693201329777517,0.46342333769477817,0.5109424435664989
MIA,test,and,10.0,0.2,9812,17561,23816,0,0.35845541226756295,0.291780658974664,0.32169964426812675
MIA,test,and,10.0,0.3,1344,26029,32284,0,0.04909947758740365,0.03996669442131557,0.044064851395878755
MIA,test,and,10.0,0.4,380,26993,33248,0,0.013882292770248056,0.011300107053645772,0.012458812150620481
MIA,test,and,10.0,0.5,170,27203,33458,0,0.006210499397216235,0.005055311050315214,0.005573679120014426
MIA,test,and,15.0,0.0,21283,6057,12345,33,0.7784564740307243,0.6328952063756393,0.6981695315575384
MIA,test,and,15.0,0.05,18180,9192,15448,1,0.664182376150811,0.5406209111454741,0.5960655737704919
MIA,test,and,15.0,0.1,15584,11789,18044,0,0.5693201329777517,0.46342333769477817,0.5109424435664989
MIA,test,and,15.0,0.2,9812,17561,23816,0,0.35845541226756295,0.291780658974664,0.32169964426812675
MIA,test,and,15.0,0.3,1344,26029,32284,0,0.04909947758740365,0.03996669442131557,0.044064851395878755
MIA,test,and,15.0,0.4,380,26993,33248,0,0.013882292770248056,0.011300107053645772,0.012458812150620481
MIA,test,and,15.0,0.5,170,27203,33458,0,0.006210499397216235,0.005055311050315214,0.005573679120014426
MIA,test,and,20.0,0.0,21283,6057,12345,33,0.7784564740307243,0.6328952063756393,0.6981695315575384
MIA,test,and,20.0,0.05,18180,9192,15448,1,0.664182376150811,0.5406209111454741,0.5960655737704919
MIA,test,and,20.0,0.1,15584,11789,18044,0,0.5693201329777517,0.46342333769477817,0.5109424435664989
MIA,test,and,20.0,0.2,9812,17561,23816,0,0.35845541226756295,0.291780658974664,0.32169964426812675
MIA,test,and,20.0,0.3,1344,26029,32284,0,0.04909947758740365,0.03996669442131557,0.044064851395878755
MIA,test,and,20.0,0.4,380,26993,33248,0,0.013882292770248056,0.011300107053645772,0.012458812150620481
MIA,test,and,20.0,0.5,170,27203,33458,0,0.006210499397216235,0.005055311050315214,0.005573679120014426
MIA,test,and,25.0,0.0,21283,6057,12345,33,0.7784564740307243,0.6328952063756393,0.6981695315575384
MIA,test,and,25.0,0.05,18180,9192,15448,1,0.664182376150811,0.5406209111454741,0.5960655737704919
MIA,test,and,25.0,0.1,15584,11789,18044,0,0.5693201329777517,0.46342333769477817,0.5109424435664989
MIA,test,and,25.0,0.2,9812,17561,23816,0,0.35845541226756295,0.291780658974664,0.32169964426812675
MIA,test,and,25.0,0.3,1344,26029,32284,0,0.04909947758740365,0.03996669442131557,0.044064851395878755
MIA,test,and,25.0,0.4,380,26993,33248,0,0.013882292770248056,0.011300107053645772,0.012458812150620481
MIA,test,and,25.0,0.5,170,27203,33458,0,0.006210499397216235,0.005055311050315214,0.005573679120014426
MIA,test,and,30.0,0.0,21283,6057,12345,33,0.7784564740307243,0.6328952063756393,0.6981695315575384
MIA,test,and,30.0,0.05,18180,9192,15448,1,0.664182376150811,0.5406209111454741,0.5960655737704919
MIA,test,and,30.0,0.1,15584,11789,18044,0,0.5693201329777517,0.46342333769477817,0.5109424435664989
MIA,test,and,30.0,0.2,9812,17561,23816,0,0.35845541226756295,0.291780658974664,0.32169964426812675
MIA,test,and,30.0,0.3,1344,26029,32284,0,0.04909947758740365,0.03996669442131557,0.044064851395878755
MIA,test,and,30.0,0.4,380,26993,33248,0,0.013882292770248056,0.011300107053645772,0.012458812150620481
MIA,test,and,30.0,0.5,170,27203,33458,0,0.006210499397216235,0.005055311050315214,0.005573679120014426
MIA,test,and,40.0,0.0,21283,6057,12345,33,0.7784564740307243,0.6328952063756393,0.6981695315575384
MIA,test,and,40.0,0.05,18180,9192,15448,1,0.664182376150811,0.5406209111454741,0.5960655737704919
MIA,test,and,40.0,0.1,15584,11789,18044,0,0.5693201329777517,0.46342333769477817,0.5109424435664989
MIA,test,and,40.0,0.2,9812,17561,23816,0,0.35845541226756295,0.291780658974664,0.32169964426812675
MIA,test,and,40.0,0.3,1344,26029,32284,0,0.04909947758740365,0.03996669442131557,0.044064851395878755
MIA,test,and,40.0,0.4,380,26993,33248,0,0.013882292770248056,0.011300107053645772,0.012458812150620481
MIA,test,and,40.0,0.5,170,27203,33458,0,0.006210499397216235,0.005055311050315214,0.005573679120014426
MIA,test,and,50.0,0.0,21283,6057,12345,33,0.7784564740307243,0.6328952063756393,0.6981695315575384
MIA,test,and,50.0,0.05,18180,9192,15448,1,0.664182376150811,0.5406209111454741,0.5960655737704919
MIA,test,and,50.0,0.1,15584,11789,18044,0,0.5693201329777517,0.46342333769477817,0.5109424435664989
MIA,test,and,50.0,0.2,9812,17561,23816,0,0.35845541226756295,0.291780658974664,0.32169964426812675
MIA,test,and,50.0,0.3,1344,26029,32284,0,0.04909947758740365,0.03996669442131557,0.044064851395878755
MIA,test,and,50.0,0.4,380,26993,33248,0,0.013882292770248056,0.011300107053645772,0.012458812150620481
MIA,test,and,50.0,0.5,170,27203,33458,0,0.006210499397216235,0.005055311050315214,0.005573679120014426
MIA,test,and,75.0,0.0,21283,6057,12345,33,0.7784564740307243,0.6328952063756393,0.6981695315575384
MIA,test,and,75.0,0.05,18180,9192,15448,1,0.664182376150811,0.5406209111454741,0.5960655737704919
MIA,test,and,75.0,0.1,15584,11789,18044,0,0.5693201329777517,0.46342333769477817,0.5109424435664989
MIA,test,and,75.0,0.2,9812,17561,23816,0,0.35845541226756295,0.291780658974664,0.32169964426812675
MIA,test,and,75.0,0.3,1344,26029,32284,0,0.04909947758740365,0.03996669442131557,0.044064851395878755
MIA,test,and,75.0,0.4,380,26993,33248,0,0.013882292770248056,0.011300107053645772,0.012458812150620481
MIA,test,and,75.0,0.5,170,27203,33458,0,0.006210499397216235,0.005055311050315214,0.005573679120014426
MIA,test,and,100.0,0.0,21283,6057,12345,33,0.7784564740307243,0.6328952063756393,0.6981695315575384
MIA,test,and,100.0,0.05,18180,9192,15448,1,0.664182376150811,0.5406209111454741,0.5960655737704919
MIA,test,and,100.0,0.1,15584,11789,18044,0,0.5693201329777517,0.46342333769477817,0.5109424435664989
MIA,test,and,100.0,0.2,9812,17561,23816,0,0.35845541226756295,0.291780658974664,0.32169964426812675
MIA,test,and,100.0,0.3,1344,26029,32284,0,0.04909947758740365,0.03996669442131557,0.044064851395878755
MIA,test,and,100.0,0.4,380,26993,33248,0,0.013882292770248056,0.011300107053645772,0.012458812150620481
MIA,test,and,100.0,0.5,170,27203,33458,0,0.006210499397216235,0.005055311050315214,0.005573679120014426
MIA,test,or,5.0,0.0,21402,5937,12226,34,0.7828377043783605,0.63643392411086,0.7020847343644923
MIA,test,or,5.0,0.05,19080,8288,14548,5,0.6971645717626425,0.5673843225883193,0.6256147944127484
MIA,test,or,5.0,0.1,18806,8563,14822,4,0.6871277722971245,0.5592363506601642,0.6166204895322721
MIA,test,or,5.0,0.2,18663,8706,14965,4,0.6819028828236325,0.5549839419531343,0.6119317343475908
